Position,Driver,Constructor,Points,Wins
1,Nino Farina,Alfa Romeo,9,1
2,Juan Fangio,Alfa Romeo,9,1
3,Johnnie Parsons,Kurtis Kraft,9,1
4,Luigi Fagioli,Alfa Romeo,6,0
5,Alberto Ascari,Ferrari,6,0
6,Bill Holland,Deidt,6,0
7,Louis Chiron,Maserati,4,0
8,Reg Parnell,Alfa Romeo,4,0
9,Mauri Rose,Deidt,4,0
10,Yves Cabantous,Talbot-Lago,3,0
11,Cecil Green,Kurtis Kraft,3,0
12,Raymond Sommer,Ferrari,3,0
13,Louis Rosier,Talbot-Lago,2,0
14,Prince Bira,Maserati,2,0
15,Tony Bettenhausen,Deidt,1,0
16,Joie Chitwood,Kurtis Kraft,1,0
17,Bob Gerard,ERA,0,0
18,Lee Wallard,Moore,0,0
19,Johnny Claes,Talbot-Lago,0,0
20,Cuth Harrison,ERA,0,0
21,Walt Faulkner,Kurtis Kraft,0,0
22,Philippe Étancelin,Talbot-Lago,0,0
23,George Connor,Lesovsky,0,0
24,David Hampshire,Maserati,0,0
25,Paul Russo,Nichels,0,0
26,Pat Flaherty,Kurtis Kraft,0,0
27,Joe Fry,Maserati,0,0
28,Brian Shawe Taylor,Maserati,0,0
29,Myron Fohr,Marchese,0,0
30,Duane Carter,Stevens,0,0
