Position,Driver,Constructor,Points,Wins
1,Alberto Ascari,Ferrari,34.5,5
2,Nino Farina,Ferrari,24,1
3,Juan Fangio,Maserati,20.5,0
4,Mike Hawthorn,Ferrari,19,1
5,José Froilán González,Maserati,13.5,0
6,Luigi Villoresi,Ferrari,13,0
7,Bill Vukovich,Kurtis Kraft,9,1
8,Toulo de Graffenried,Maserati,7,0
9,Felice Bonetto,Maserati,6.5,0
10,Art Cross,Kurtis Kraft,6,0
11,Onofre Marimón,Maserati,4,0
12,Duane Carter,Lesovsky,2,0
13,Sam Hanks,Kurtis Kraft,2,0
14,Maurice Trintignant,Gordini,2,0
15,Oscar Gálvez,Maserati,2,0
16,Hermann Lang,Maserati,2,0
17,Jack McGrath,Kurtis Kraft,2,0
18,Paul Russo,Kurtis Kraft,1.5,0
19,Fred Agabashian,Kurtis Kraft,1.5,0
20,Stirling Moss,Connaught,0,0
21,Jean Behra,Gordini,0,0
22,Jimmy Daywalt,Kurtis Kraft,0,0
23,Harry Schell,Gordini,0,0
24,Louis Rosier,Ferrari,0,0
25,Ken Wharton,Cooper,0,0
26,Jim Rathmann,Kurtis Kraft,0,0
27,Prince Bira,Connaught,0,0
28,Jacques Swaters,Ferrari,0,0
29,Eddie Johnson,Kurtis Kraft,0,0
30,Peter Collins,HWM,0,0
