Position,Driver,Constructor,Points,Wins
1,Mike Hawthorn,Ferrari,40,1
2,Stirling Moss,Cooper,32,3
3,Tony Brooks,Vanwall,24,3
4,Roy Salvadori,Cooper,15,0
5,Peter Collins,Ferrari,14,1
6,Maurice Trintignant,Cooper,12,1
7,Luigi Musso,Ferrari,12,0
8,Harry Schell,Maserati,12,0
9,Stuart Lewis-Evans,Vanwall,11,0
10,Wolfgang von Trips,Ferrari,9,0
11,Jean Behra,Maserati,9,0
12,Jimmy Bryan,Epperly,8,1
13,Juan Fangio,Maserati,7,0
14,George Amick,Epperly,6,0
15,Phil Hill,Maserati,5,0
16,Johnny Boyd,Kurtis Kraft,4,0
17,Tony Bettenhausen,Epperly,4,0
18,Jack Brabham,Cooper,3,0
19,Cliff Allison,Team Lotus,3,0
20,Jim Rathmann,Epperly,2,0
21,Carroll Shelby,Maserati,0,0
22,Masten Gregory,Maserati,0,0
23,Bruce McLaren,Cooper,0,0
24,Graham Hill,Team Lotus,0,0
25,Olivier Gendebien,Ferrari,0,0
26,Edgar Barth,Porsche,0,0
27,Jimmy Reece,Watson,0,0
28,Ian Burgess,Cooper,0,0
29,Don Freeland,Phillips,0,0
30,Carlos Menditeguy,Maserati,0,0
