Position,Driver,Constructor,Points,Wins
1,Mike Hawthorn,Ferrari,42,1
2,Stirling Moss,Cooper,41,4
3,Tony Brooks,Vanwall,24,3
4,Roy Salvadori,Cooper,15,0
5,Peter Collins,Ferrari,14,1
6,Harry Schell,Maserati,14,0
7,Maurice Trintignant,Cooper,12,1
8,Luigi Musso,Ferrari,12,0
9,Stuart Lewis-Evans,Vanwall,11,0
10,Phil Hill,Maserati,9,0
11,Wolfgang von Trips,Ferrari,9,0
12,Jean Behra,Maserati,9,0
13,Jimmy Bryan,Epperly,8,1
14,Juan Fangio,Maserati,7,0
15,George Amick,Epperly,6,0
16,Johnny Boyd,Kurtis Kraft,4,0
17,Tony Bettenhausen,Epperly,4,0
18,Jack Brabham,Cooper,3,0
19,Cliff Allison,Team Lotus,3,0
20,Jo Bonnier,Maserati,3,0
21,Jim Rathmann,Epperly,2,0
22,Masten Gregory,Maserati,0,0
23,Carroll Shelby,Maserati,0,0
24,Bruce McLaren,Cooper,0,0
25,Graham Hill,Team Lotus,0,0
26,Olivier Gendebien,Ferrari,0,0
27,Edgar Barth,Porsche,0,0
28,Jimmy Reece,Watson,0,0
29,Ian Burgess,Cooper,0,0
30,Don Freeland,Phillips,0,0
