Position,Driver,Constructor,Points,Wins
1,Graham Hill,Lotus-Ford,48,3
2,Jackie Stewart,Matra-Ford,36,3
3,Denny Hulme,McLaren-BRM,33,2
4,Jacky Ickx,Ferrari,27,1
5,Bruce McLaren,McLaren-Ford,22,1
6,Pedro Rodríguez,BRM,18,0
7,Jo Siffert,Cooper-Maserati,12,1
8,John Surtees,Honda,12,0
9,Jean-Pierre Beltoise,Matra-Ford,11,0
10,Chris Amon,Ferrari,10,0
11,Jim Clark,Lotus-Ford,9,1
12,Jochen Rindt,Brabham-Repco,8,0
13,Richard Attwood,BRM,6,0
14,Johnny Servoz-Gavin,Matra-Ford,6,0
15,Jackie Oliver,Lotus-Ford,6,0
16,Ludovico Scarfiotti,Cooper-BRM,6,0
17,Lucien Bianchi,Cooper-BRM,5,0
18,Vic Elford,Cooper-BRM,5,0
19,Brian Redman,Cooper-Maserati,4,0
20,Piers Courage,BRM,4,0
21,Dan Gurney,Eagle-Weslake,3,0
22,Jo Bonnier,Cooper-Maserati,3,0
23,Jack Brabham,Brabham-Repco,2,0
24,Silvio Moser,Brabham-Repco,2,0
25,Henri Pescarolo,Matra,0,0
26,John Love,Brabham-Repco,0,0
27,Hubert Hahne,Lola,0,0
28,Kurt Ahrens,Brabham-Repco,0,0
29,David Hobbs,Honda,0,0
30,Jackie Pretorius,Brabham-Climax,0,0
