Position,Driver,Constructor,Points,Wins
1,Jackie Stewart,Tyrrell,24,2
2,Jacky Ickx,Ferrari,10,0
3,Mario Andretti,Ferrari,9,1
4,Ronnie Peterson,March-Ford,6,0
5,Chris Amon,Matra,6,0
6,Denny Hulme,McLaren,6,0
7,Clay Regazzoni,Ferrari,4,0
8,Pedro Rodríguez,BRM,3,0
9,Reine Wisell,Lotus-Ford,3,0
10,Emerson Fittipaldi,Lotus-Ford,2,0
11,Rolf Stommelen,Surtees,1,0
12,Jean-Pierre Beltoise,Matra,1,0
13,John Surtees,Surtees,0,0
14,François Cevert,Tyrrell,0,0
15,Brian Redman,Surtees,0,0
16,Henri Pescarolo,March-Ford,0,0
17,Peter Gethin,McLaren,0,0
18,Tim Schenken,Brabham,0,0
19,Graham Hill,Brabham,0,0
20,Howden Ganley,BRM,0,0
21,Andrea de Adamich,March-Alfa Romeo,0,0
22,Jo Siffert,BRM,0,0
23,Alex Soler-Roig,March-Ford,0,0
24,Dave Charlton,Brabham,0,0
25,John Love,March-Ford,0,0
26,Skip Barber,March-Ford,0,0
27,Jackie Pretorius,Brabham,0,0
28,Jo Bonnier,McLaren,0,0
