round,raceName,date,time,circuit,country
1,Argentine Grand Prix,1972-01-23,,Autódromo Juan y Oscar Gálvez,Argentina
2,South African Grand Prix,1972-03-04,,Kyalami,South Africa
3,Spanish Grand Prix,1972-05-01,,Jarama,Spain
4,Monaco Grand Prix,1972-05-14,,Circuit de Monaco,Monaco
5,Belgian Grand Prix,1972-06-04,,Nivelles-Baulers,Belgium
6,French Grand Prix,1972-07-02,,Charade Circuit,France
7,British Grand Prix,1972-07-15,,Brands Hatch,UK
8,German Grand Prix,1972-07-30,,Nürburgring,Germany
9,Austrian Grand Prix,1972-08-13,,Red Bull Ring,Austria
10,Italian Grand Prix,1972-09-10,,Autodromo Nazionale di Monza,Italy
11,Canadian Grand Prix,1972-09-24,,Mosport International Raceway,Canada
12,United States Grand Prix,1972-10-08,,Watkins Glen,USA
