position,number,driver,constructor,laps,grid,status,points
1,3,Jody Scheckter,Tyrrell,80,2,Finished,9
2,4,Patrick Depailler,Tyrrell,80,1,Finished,6
3,24,James Hunt,Hesketh,80,6,Finished,4
4,5,Emerson Fittipaldi,McLaren,80,9,Finished,3
5,17,Jean-Pierre Jarier,Shadow,80,8,Finished,2
6,26,Graham Hill,Lola,79,15,+1 Lap,1
7,27,Guy Edwards,Lola,79,18,+1 Lap,0
8,21,Tom Belsø,Iso Marlboro,79,21,+1 Lap,0
9,8,Rikky von Opel,Brabham,79,20,+1 Lap,0
10,10,Vittorio Brambilla,March,78,17,Engine,0
11,28,John Watson,Brabham,77,14,+3 Laps,0
12,22,Vern Schuppan,Ensign,77,26,Disqualified,0
13,12,Niki Lauda,Ferrari,70,3,Gearbox,0
14,9,Reine Wisell,March,59,16,Suspension,0
15,6,Denny Hulme,McLaren,56,12,Suspension,0
16,19,Jochen Mass,Surtees,53,22,Suspension,0
17,7,Carlos Reutemann,Brabham,30,10,Oil leak,0
18,2,Jacky Ickx,Team Lotus,27,7,Engine,0
19,11,Clay Regazzoni,Ferrari,24,4,Gearbox,0
20,18,Carlos Pace,Surtees,15,24,Handling,0
21,1,Ronnie Peterson,Team Lotus,8,5,Halfshaft,0
22,23,Leo Kinnunen,Surtees,8,25,Engine,0
23,33,Mike Hailwood,McLaren,5,11,Fuel leak,0
24,14,Jean-Pierre Beltoise,BRM,3,13,Engine,0
25,16,Bertil Roos,Shadow,2,23,Gearbox,0
26,15,Henri Pescarolo,BRM,0,19,Heat shield fire,0
27,20,Richard Robarts,Iso Marlboro,0,0,Did not qualify,0
