Position,Driver,Constructor,Points,Wins
1,Jody Scheckter,Wolf,9,1
2,Carlos Pace,Brabham,6,0
3,Carlos Reutemann,Ferrari,4,0
4,Emerson Fittipaldi,Fittipaldi,3,0
5,Mario Andretti,Team Lotus,2,0
6,Clay Regazzoni,Ensign,1,0
7,Vittorio Brambilla,Surtees,0,0
8,Ian Scheckter,March,0,0
9,Tom Pryce,Shadow,0,0
10,John Watson,Brabham,0,0
11,Alex Ribeiro,March,0,0
12,Jacques Laffite,Ligier,0,0
13,Patrick Depailler,Tyrrell,0,0
14,James Hunt,McLaren,0,0
15,Jochen Mass,McLaren,0,0
16,Ronnie Peterson,Tyrrell,0,0
17,Ingo Hoffmann,Fittipaldi,0,0
18,Niki Lauda,Ferrari,0,0
19,Hans Binder,Surtees,0,0
20,Renzo Zorzi,Shadow,0,0
21,Gunnar Nilsson,Team Lotus,0,0
