Position,Driver,Constructor,Points,Wins
1,Jody Scheckter,Wolf,15,1
2,Carlos Reutemann,Ferrari,13,1
3,Niki Lauda,Ferrari,13,1
4,James Hunt,McLaren,9,0
5,Carlos Pace,Brabham,6,0
6,Emerson Fittipaldi,Fittipaldi,6,0
7,Patrick Depailler,Tyrrell,4,0
8,Gunnar Nilsson,Team Lotus,2,0
9,Mario Andretti,Team Lotus,2,0
10,Jochen Mass,McLaren,2,0
11,Clay Regazzoni,Ensign,1,0
12,John Watson,Brabham,1,0
13,Renzo Zorzi,Shadow,1,0
14,Vittorio Brambilla,Surtees,0,0
15,Ingo Hoffmann,Fittipaldi,0,0
16,Hans Binder,Surtees,0,0
17,Brett Lunger,March,0,0
18,Larry Perkins,BRM,0,0
19,Ian Scheckter,March,0,0
20,Tom Pryce,Shadow,0,0
21,Alex Ribeiro,March,0,0
22,Jacques Laffite,Ligier,0,0
23,Ronnie Peterson,Tyrrell,0,0
24,Hans-Joachim Stuck,March,0,0
25,Boy Lunger,March,0,0
