Position,Driver,Constructor,Points,Wins
1,Jody Scheckter,Wolf,32,2
2,Niki Lauda,Ferrari,31,1
3,Carlos Reutemann,Ferrari,27,1
4,Mario Andretti,Team Lotus,23,2
5,Jochen Mass,McLaren,14,0
6,Gunnar Nilsson,Team Lotus,13,1
7,Patrick Depailler,Tyrrell,10,0
8,Jacques Laffite,Ligier,9,1
9,James Hunt,McLaren,9,0
10,Emerson Fittipaldi,Fittipaldi,8,0
11,Carlos Pace,Brabham,6,0
12,Ronnie Peterson,Tyrrell,4,0
13,Vittorio Brambilla,Surtees,3,0
14,Alan Jones,Shadow,3,0
15,John Watson,Brabham,3,0
16,Hans-Joachim Stuck,March,2,0
17,Clay Regazzoni,Ensign,1,0
18,Jean-Pierre Jarier,Penske,1,0
19,Renzo Zorzi,Shadow,1,0
20,Ingo Hoffmann,Fittipaldi,0,0
21,Hans Binder,Surtees,0,0
22,Harald Ertl,Hesketh,0,0
23,Riccardo Patrese,Shadow,0,0
24,Jackie Oliver,Shadow,0,0
25,Brett Lunger,March,0,0
26,Patrick Nève,March,0,0
27,Brian Henton,March,0,0
28,Jacky Ickx,Ensign,0,0
29,Ian Scheckter,March,0,0
30,Rupert Keegan,Hesketh,0,0
