position,number,driver,constructor,Q1,Q2,Q3
1,5,Michael Schumacher,Benetton,1:18.258,,
2,0,Damon Hill,Williams,1:18.824,,
3,2,David Coulthard,Williams,1:20.205,,
4,28,Gerhard Berger,Ferrari,1:20.219,,
5,3,Ukyo Katayama,Tyrrell,1:20.232,,
6,8,Martin Brundle,McLaren,1:20.629,,
7,15,Eddie Irvine,Jordan,1:20.698,,
8,30,Heinz-Harald Frentzen,Sauber,1:20.858,,
9,26,Olivier Panis,Ligier,1:20.929,,
10,14,Rubens Barrichello,Jordan,1:20.952,,
11,4,Mark Blundell,Tyrrell,1:20.984,,
12,6,Jos Verstappen,Benetton,1:21.141,,
13,27,Jean Alesi,Ferrari,1:21.206,,
14,7,Philippe Alliot,McLaren,1:21.498,,
15,23,Pierluigi Martini,Minardi,1:21.837,,
16,9,Christian Fittipaldi,Footwork,1:21.873,,
17,29,Andrea de Cesaris,Sauber,1:21.946,,
18,25,Éric Bernard,Ligier,1:22.038,,
19,10,Gianni Morbidelli,Footwork,1:22.311,,
20,24,Michele Alboreto,Minardi,1:22.379,,
21,20,Érik Comas,Larrousse,1:22.487,,
22,11,Alessandro Zanardi,Team Lotus,1:22.513,,
23,31,David Brabham,Simtek,1:22.614,,
24,12,Johnny Herbert,Team Lotus,1:22.705,,
25,19,Olivier Beretta,Larrousse,1:22.899,,
26,32,Jean-Marc Gounon,Simtek,1:24.191,,
