Position,Driver,Constructor,Points,Wins
1,Michael Schumacher,Benetton,20,2
2,Rubens Barrichello,Jordan,7,0
3,Damon Hill,Williams,6,0
4,Gerhard Berger,Ferrari,6,0
5,Jean Alesi,Ferrari,4,0
6,Christian Fittipaldi,Footwork,3,0
7,Heinz-Harald Frentzen,Sauber,2,0
8,Ukyo Katayama,Tyrrell,2,0
9,Érik Comas,Larrousse,1,0
10,Karl Wendlinger,Sauber,1,0
11,Johnny Herbert,Team Lotus,0,0
12,Pedro Lamy,Team Lotus,0,0
13,Pierluigi Martini,Minardi,0,0
14,Olivier Panis,Ligier,0,0
15,Éric Bernard,Ligier,0,0
16,Roland Ratzenberger,Simtek,0,0
17,David Brabham,Simtek,0,0
18,Gianni Morbidelli,Footwork,0,0
19,Ayrton Senna,Williams,0,0
20,Martin Brundle,McLaren,0,0
21,Michele Alboreto,Minardi,0,0
22,Eddie Irvine,Jordan,0,0
23,Jos Verstappen,Benetton,0,0
24,Mark Blundell,Tyrrell,0,0
25,Aguri Suzuki,Jordan,0,0
26,Mika Häkkinen,McLaren,0,0
27,Olivier Beretta,Larrousse,0,0
28,Nicola Larini,Ferrari,0,0
29,Bertrand Gachot,Pacific,0,0
30,Paul Belmondo,Pacific,0,0
