position,number,driver,constructor,Q1,Q2,Q3
1,6,David Coulthard,Williams,1:14.013,,
2,5,Damon Hill,Williams,1:14.213,,
3,1,Michael Schumacher,Benetton,1:14.284,,
4,27,Jean Alesi,Ferrari,1:14.919,,
5,28,Gerhard Berger,Ferrari,1:14.974,,
6,15,Eddie Irvine,Jordan,1:15.354,,
7,2,Johnny Herbert,Benetton,1:15.556,,
8,30,Heinz-Harald Frentzen,Sauber,1:15.561,,
9,26,Olivier Panis,Ligier,1:15.621,,
10,7,Mark Blundell,McLaren,1:15.652,,
11,14,Rubens Barrichello,Jordan,1:15.774,,
12,8,Jan Magnussen,McLaren,1:16.339,,
13,25,Aguri Suzuki,Ligier,1:16.519,,
14,23,Pedro Lamy,Minardi,1:16.596,,
15,29,Jean-Christophe Boullion,Sauber,1:16.646,,
16,24,Luca Badoer,Minardi,1:16.887,,
17,3,Ukyo Katayama,Tyrrell,1:17.014,,
18,4,Mika Salo,Tyrrell,1:17.213,,
19,9,Gianni Morbidelli,Footwork,1:18.114,,
20,10,Taki Inoue,Footwork,1:18.212,,
21,21,Pedro Diniz,Forti,1:19.579,,
22,22,Roberto Moreno,Forti,1:19.745,,
23,17,Andrea Montermini,Pacific,1:20.093,,
24,16,Bertrand Gachot,Pacific,1:21.405,,
