position,number,driver,constructor,Q1,Q2,Q3
1,5,Damon Hill,Williams,1:17.225,,
2,1,Michael Schumacher,Benetton,1:17.512,,
3,6,David Coulthard,Williams,1:17.925,,
4,27,Jean Alesi,Ferrari,1:18.761,,
5,14,Rubens Barrichello,Jordan,1:18.810,,
6,26,Olivier Panis,Ligier,1:19.047,,
7,28,Gerhard Berger,Ferrari,1:19.051,,
8,8,Mika Häkkinen,McLaren,1:19.238,,
9,25,Martin Brundle,Ligier,1:19.384,,
10,2,Johnny Herbert,Benetton,1:19.555,,
11,15,Eddie Irvine,Jordan,1:19.845,,
12,30,Heinz-Harald Frentzen,Sauber,1:20.309,,
13,7,Mark Blundell,McLaren,1:20.527,,
14,4,Mika Salo,Tyrrell,1:20.796,,
15,29,Jean-Christophe Boullion,Sauber,1:20.943,,
16,9,Gianni Morbidelli,Footwork,1:21.076,,
17,24,Luca Badoer,Minardi,1:21.323,,
18,10,Taki Inoue,Footwork,1:21.894,,
19,3,Ukyo Katayama,Tyrrell,1:21.930,,
20,23,Pierluigi Martini,Minardi,1:22.104,,
21,17,Andrea Montermini,Pacific,1:23.466,,
22,16,Bertrand Gachot,Pacific,1:23.647,,
23,21,Pedro Diniz,Forti,1:24.184,,
24,22,Roberto Moreno,Forti,1:24.865,,
