lap,position,driver,time
1,1,damon_hill,1:35.109
1,2,michael_schumacher,1:35.713
1,3,alesi,1:36.618
1,4,berger,1:37.391
1,5,coulthard,1:40.830
1,6,barrichello,1:41.563
1,7,verstappen,1:42.211
1,8,hakkinen,1:43.051
1,9,villeneuve,1:43.547
1,10,irvine,1:44.180
1,11,frentzen,1:44.791
1,12,brundle,1:45.577
1,13,katayama,1:46.540
1,14,herbert,1:47.131
1,15,panis,1:47.931
1,16,marques,1:48.199
1,17,salo,1:48.716
1,18,badoer,1:49.268
1,19,lamy,1:49.520
1,20,montermini,1:51.030
1,21,diniz,1:51.249
1,22,rosset,1:51.788
2,1,damon_hill,1:33.021
2,2,michael_schumacher,1:33.247
2,3,alesi,1:33.144
2,4,berger,1:32.977
2,5,coulthard,1:34.893
2,6,barrichello,1:35.430
2,7,verstappen,1:35.490
2,8,hakkinen,1:35.268
2,9,villeneuve,1:35.049
2,10,irvine,1:34.910
2,11,frentzen,1:35.701
2,12,brundle,1:36.243
2,13,katayama,1:35.822
2,14,herbert,1:36.318
2,15,panis,1:35.922
2,16,marques,1:36.103
2,17,salo,1:36.234
2,18,lamy,1:37.417
2,19,diniz,1:37.257
2,20,badoer,1:39.997
2,21,montermini,1:38.744
2,22,rosset,1:38.324
3,1,damon_hill,1:32.402
3,2,michael_schumacher,1:32.478
3,3,alesi,1:32.676
3,4,berger,1:33.088
3,5,coulthard,1:34.171
3,6,barrichello,1:34.659
3,7,verstappen,1:34.581
3,8,villeneuve,1:34.224
3,9,hakkinen,1:35.251
3,10,irvine,1:35.095
3,11,frentzen,1:34.287
3,12,brundle,1:34.951
3,13,katayama,1:35.045
3,14,herbert,1:35.112
3,15,panis,1:35.800
3,16,marques,1:35.719
3,17,salo,1:35.953
3,18,lamy,1:35.045
3,19,diniz,1:34.875
3,20,badoer,1:37.812
3,21,montermini,1:39.220
3,22,rosset,1:39.258
4,1,damon_hill,1:32.054
4,2,michael_schumacher,1:31.819
4,3,alesi,1:32.564
4,4,berger,1:32.498
4,5,coulthard,1:33.934
4,6,barrichello,1:34.971
4,7,villeneuve,1:34.538
4,8,verstappen,1:35.600
4,9,hakkinen,1:34.837
4,10,irvine,1:34.674
4,11,frentzen,1:34.639
4,12,brundle,1:35.996
4,13,katayama,1:35.561
4,14,herbert,1:35.589
4,15,panis,1:34.912
4,16,marques,1:34.980
4,17,salo,1:34.501
4,18,lamy,1:34.802
4,19,diniz,1:34.157
4,20,badoer,1:36.776
4,21,rosset,1:34.996
4,22,montermini,1:38.242
5,1,damon_hill,1:31.693
5,2,michael_schumacher,1:31.817
5,3,alesi,1:31.927
5,4,berger,1:33.110
5,5,coulthard,1:33.829
5,6,villeneuve,1:33.174
5,7,barrichello,1:34.994
5,8,verstappen,1:34.173
5,9,hakkinen,1:34.384
5,10,irvine,1:34.412
5,11,frentzen,1:34.535
5,12,brundle,1:36.177
5,13,katayama,1:36.262
5,14,herbert,1:35.683
5,15,panis,1:35.917
5,16,marques,1:35.878
5,17,salo,1:35.911
5,18,lamy,1:34.920
5,19,diniz,1:34.760
5,20,badoer,1:36.982
5,21,rosset,1:36.951
5,22,montermini,1:36.394
6,1,damon_hill,1:32.301
6,2,michael_schumacher,1:31.936
6,3,alesi,1:31.933
6,4,berger,1:31.570
