position,number,driver,constructor,Q1,Q2,Q3
1,8,Gerhard Berger,Benetton,1:41.873,,
2,12,Giancarlo Fisichella,Jordan,1:41.896,,
3,9,Mika Häkkinen,McLaren,1:42.034,,
4,5,Michael Schumacher,Ferrari,1:42.181,,
5,4,Heinz-Harald Frentzen,Williams,1:42.421,,
6,7,Jean Alesi,Benetton,1:42.493,,
7,11,Ralf Schumacher,Jordan,1:42.498,,
8,10,David Coulthard,McLaren,1:42.687,,
9,3,Jacques Villeneuve,Williams,1:42.967,,
10,6,Eddie Irvine,Ferrari,1:43.209,,
11,14,Jarno Trulli,Prost,1:43.226,,
12,22,Rubens Barrichello,Stewart,1:43.272,,
13,1,Damon Hill,Arrows,1:43.361,,
14,16,Johnny Herbert,Sauber,1:43.660,,
15,23,Jan Magnussen,Stewart,1:43.927,,
16,2,Pedro Diniz,Arrows,1:44.069,,
17,15,Shinji Nakano,Prost,1:44.112,,
18,17,Norberto Fontana,Sauber,1:44.552,,
19,18,Mika Salo,Tyrrell,1:45.372,,
20,19,Jos Verstappen,Tyrrell,1:45.811,,
21,21,Tarso Marques,Minardi,1:45.942,,
22,20,Ukyo Katayama,Minardi,1:46.499,,
