Position,Driver,Constructor,Points,Wins
1,Jacques Villeneuve,Williams,77,7
2,Michael Schumacher,Ferrari,68,4
3,Heinz-Harald Frentzen,Williams,35,1
4,Jean Alesi,Benetton,34,0
5,David Coulthard,McLaren,30,2
6,Gerhard Berger,Benetton,24,1
7,Giancarlo Fisichella,Jordan,20,0
8,Eddie Irvine,Ferrari,18,0
9,Olivier Panis,Prost,16,0
10,Mika Häkkinen,McLaren,14,0
11,Johnny Herbert,Sauber,14,0
12,Ralf Schumacher,Jordan,13,0
13,Damon Hill,Arrows,7,0
14,Rubens Barrichello,Stewart,6,0
15,Alexander Wurz,Benetton,4,0
16,Jarno Trulli,Minardi,3,0
17,Pedro Diniz,Arrows,2,0
18,Mika Salo,Tyrrell,2,0
19,Shinji Nakano,Prost,2,0
20,Nicola Larini,Sauber,1,0
21,Jan Magnussen,Stewart,0,0
22,Jos Verstappen,Tyrrell,0,0
23,Gianni Morbidelli,Sauber,0,0
24,Norberto Fontana,Sauber,0,0
25,Ukyo Katayama,Minardi,0,0
26,Tarso Marques,Minardi,0,0
