lap,position,driver,time
1,1,hakkinen,1:26.895
1,2,coulthard,1:28.214
1,3,villeneuve,1:30.217
1,4,barrichello,1:31.043
1,5,alesi,1:31.681
1,6,magnussen,1:32.755
1,7,damon_hill,1:33.320
1,8,diniz,1:34.050
1,9,herbert,1:34.390
1,10,michael_schumacher,1:34.829
1,11,panis,1:35.167
1,12,irvine,1:35.470
1,13,frentzen,1:36.476
1,14,marques,1:36.826
1,15,berger,1:37.260
1,16,nakano,1:38.700
1,17,salo,1:39.003
1,18,verstappen,1:39.746
1,19,morbidelli,1:39.911
1,20,katayama,3:00.630
2,1,hakkinen,1:21.990
2,2,coulthard,1:22.374
2,3,villeneuve,1:21.895
2,4,barrichello,1:22.941
2,5,alesi,1:22.903
2,6,magnussen,1:23.124
2,7,damon_hill,1:23.063
2,8,diniz,1:23.254
2,9,herbert,1:23.332
2,10,panis,1:24.414
2,11,irvine,1:24.609
2,12,frentzen,1:24.722
2,13,berger,1:24.715
2,14,nakano,1:24.812
2,15,michael_schumacher,1:29.314
2,16,salo,1:25.182
2,17,morbidelli,1:24.840
2,18,verstappen,1:26.301
3,1,hakkinen,1:21.406
3,2,coulthard,1:21.743
3,3,villeneuve,1:21.749
3,4,barrichello,1:22.373
3,5,alesi,1:22.351
3,6,magnussen,1:22.988
3,7,damon_hill,1:22.830
3,8,diniz,1:22.916
3,9,herbert,1:23.018
3,10,panis,1:21.873
3,11,irvine,1:22.379
3,12,frentzen,1:22.525
3,13,berger,1:22.229
3,14,nakano,1:22.679
3,15,salo,1:23.364
3,16,morbidelli,1:23.240
3,17,verstappen,1:23.685
4,1,hakkinen,1:21.022
4,2,coulthard,1:21.006
4,3,villeneuve,1:21.426
4,4,barrichello,1:21.823
4,5,alesi,1:22.080
4,6,magnussen,1:22.594
4,7,damon_hill,1:22.563
4,8,diniz,1:22.634
4,9,herbert,1:22.534
4,10,panis,1:22.475
4,11,irvine,1:22.412
4,12,frentzen,1:22.406
4,13,berger,1:22.280
4,14,nakano,1:22.371
4,15,salo,1:23.092
4,16,morbidelli,1:23.086
4,17,verstappen,1:23.232
5,1,hakkinen,1:20.652
5,2,coulthard,1:20.922
5,3,villeneuve,1:20.989
5,4,barrichello,1:21.881
5,5,alesi,1:21.582
5,6,magnussen,1:22.542
5,7,damon_hill,1:22.807
5,8,diniz,1:22.427
5,9,herbert,1:22.470
5,10,panis,1:22.530
5,11,irvine,1:22.120
5,12,frentzen,1:22.678
5,13,berger,1:22.657
5,14,nakano,1:22.099
5,15,salo,1:23.127
5,16,morbidelli,1:23.166
5,17,verstappen,1:23.147
6,1,hakkinen,1:20.437
6,2,coulthard,1:20.977
6,3,villeneuve,1:20.874
6,4,barrichello,1:21.843
6,5,alesi,1:21.814
6,6,magnussen,1:22.780
6,7,damon_hill,1:22.512
6,8,diniz,1:22.415
6,9,herbert,1:22.352
6,10,panis,1:22.457
6,11,irvine,1:22.426
6,12,frentzen,1:22.750
