position,number,driver,constructor,Q1,Q2,Q3
1,3,Jacques Villeneuve,Williams,1:16.004,,
2,5,Michael Schumacher,Ferrari,1:16.594,,
3,8,Gerhard Berger,Benetton,1:16.644,,
4,9,Mika Häkkinen,McLaren,1:16.692,,
5,14,Olivier Panis,Prost,1:16.756,,
6,7,Jean Alesi,Benetton,1:16.757,,
7,12,Giancarlo Fisichella,Jordan,1:16.912,,
8,4,Heinz-Harald Frentzen,Williams,1:16.971,,
9,1,Damon Hill,Arrows,1:17.090,,
10,11,Ralf Schumacher,Jordan,1:17.175,,
11,22,Rubens Barrichello,Stewart,1:17.259,,
12,10,David Coulthard,McLaren,1:17.262,,
13,16,Johnny Herbert,Sauber,1:17.409,,
14,6,Eddie Irvine,Ferrari,1:17.527,,
15,15,Shinji Nakano,Prost,1:17.999,,
16,2,Pedro Diniz,Arrows,1:18.095,,
17,21,Jarno Trulli,Minardi,1:18.336,,
18,20,Ukyo Katayama,Minardi,1:18.557,,
19,17,Nicola Larini,Sauber,1:18.644,,
20,23,Jan Magnussen,Stewart,1:18.773,,
21,18,Jos Verstappen,Tyrrell,1:18.885,,
22,19,Mika Salo,Tyrrell,1:19.274,,
