lap,position,driver,time
1,1,hakkinen,1:25.628
1,2,coulthard,1:26.698
1,3,frentzen,1:28.676
1,4,irvine,1:29.545
1,5,michael_schumacher,1:30.243
1,6,wurz,1:31.309
1,7,villeneuve,1:32.193
1,8,fisichella,1:32.591
1,9,alesi,1:33.745
1,10,barrichello,1:33.816
1,11,panis,1:34.167
1,12,trulli,1:35.457
1,13,herbert,1:36.093
1,14,damon_hill,1:36.408
1,15,magnussen,1:37.480
1,16,nakano,1:37.495
1,17,takagi,1:37.978
1,18,rosset,1:38.756
1,19,salo,1:39.665
1,20,diniz,1:40.935
1,21,tuero,1:40.984
2,1,hakkinen,1:21.122
2,2,coulthard,1:21.174
2,3,frentzen,1:22.026
2,4,irvine,1:22.671
2,5,michael_schumacher,1:22.226
2,6,wurz,1:22.586
2,7,villeneuve,1:22.477
2,8,fisichella,1:23.377
2,9,barrichello,1:23.189
2,10,alesi,1:23.987
2,11,panis,1:23.850
2,12,trulli,1:24.326
2,13,herbert,1:24.170
2,14,damon_hill,1:24.201
2,15,magnussen,1:23.611
2,16,nakano,1:25.023
2,17,takagi,1:24.857
2,18,rosset,1:25.338
2,19,salo,1:25.422
2,20,tuero,1:26.403
2,21,diniz,1:26.779
3,1,hakkinen,1:20.946
3,2,coulthard,1:21.058
3,3,frentzen,1:22.327
3,4,irvine,1:22.180
3,5,michael_schumacher,1:22.423
3,6,wurz,1:22.412
3,7,villeneuve,1:22.389
3,8,fisichella,1:22.748
3,9,barrichello,1:23.102
3,10,alesi,1:23.238
3,11,panis,1:23.274
3,12,trulli,1:23.580
3,13,herbert,1:23.955
3,14,damon_hill,1:24.330
3,15,magnussen,1:24.464
3,16,nakano,1:24.475
3,17,takagi,1:24.400
3,18,rosset,1:24.301
3,19,salo,1:24.597
3,20,tuero,1:25.889
3,21,diniz,1:26.009
4,1,hakkinen,1:21.092
4,2,coulthard,1:21.009
4,3,frentzen,1:22.123
4,4,irvine,1:21.956
4,5,michael_schumacher,1:21.922
4,6,wurz,1:22.115
4,7,villeneuve,1:22.030
4,8,fisichella,1:22.964
4,9,barrichello,1:22.846
4,10,alesi,1:22.950
4,11,panis,1:23.511
4,12,trulli,1:23.636
4,13,herbert,1:23.517
4,14,damon_hill,1:23.835
4,15,magnussen,1:24.163
4,16,takagi,1:24.436
4,17,rosset,1:24.718
4,18,salo,1:24.669
4,19,tuero,1:24.067
4,20,diniz,1:24.439
5,1,hakkinen,1:21.095
5,2,coulthard,1:21.131
5,3,frentzen,1:21.839
5,4,irvine,1:22.073
5,5,michael_schumacher,1:22.361
5,6,wurz,1:22.191
5,7,villeneuve,1:22.458
5,8,fisichella,1:22.787
5,9,barrichello,1:22.939
5,10,alesi,1:23.037
5,11,panis,1:23.055
5,12,trulli,1:23.746
5,13,herbert,1:23.430
5,14,damon_hill,1:23.249
5,15,magnussen,1:23.517
5,16,takagi,1:23.412
5,17,rosset,1:23.814
5,18,salo,1:24.590
5,19,tuero,1:23.993
5,20,diniz,1:23.920
6,1,hakkinen,1:20.524
6,2,coulthard,1:20.717
6,3,frentzen,1:21.691
6,4,irvine,1:21.720
6,5,michael_schumacher,1:21.768
6,6,wurz,1:22.318
6,7,villeneuve,1:22.657
6,8,fisichella,1:22.469
6,9,barrichello,1:22.656
6,10,alesi,1:22.953
6,11,panis,1:22.414
6,12,trulli,1:23.403
6,13,herbert,1:23.470
6,14,damon_hill,1:23.345
6,15,magnussen,1:23.224
6,16,takagi,1:23.796
6,17,rosset,1:23.869
6,18,salo,1:24.149
6,19,tuero,1:23.722
6,20,diniz,1:23.915
7,1,hakkinen,1:20.677
7,2,coulthard,1:20.598
7,3,frentzen,1:21.796
7,4,irvine,1:21.960
7,5,michael_schumacher,1:21.711
7,6,wurz,1:22.379
7,7,villeneuve,1:21.655
7,8,fisichella,1:22.606
7,9,barrichello,1:22.583
7,10,alesi,1:22.498
7,11,panis,1:22.701
7,12,trulli,1:23.119
7,13,herbert,1:23.140
7,14,damon_hill,1:23.289
7,15,magnussen,1:23.053
7,16,takagi,1:23.750
7,17,rosset,1:24.238
7,18,salo,1:24.321
7,19,tuero,1:23.973
7,20,diniz,1:23.887
8,1,hakkinen,1:20.285
8,2,coulthard,1:20.735
8,3,frentzen,1:21.698
8,4,irvine,1:21.649
8,5,michael_schumacher,1:21.894
8,6,wurz,1:21.784
8,7,villeneuve,1:21.879
8,8,fisichella,1:22.870
8,9,barrichello,1:22.600
8,10,alesi,1:22.756
8,11,panis,1:22.827
8,12,trulli,1:22.933
8,13,herbert,1:23.080
8,14,damon_hill,1:22.791
8,15,magnussen,1:23.035
8,16,takagi,1:23.694
8,17,rosset,1:23.555
8,18,salo,1:24.041
8,19,tuero,1:23.846
8,20,diniz,1:23.783
9,1,hakkinen,1:20.290
9,2,coulthard,1:20.681
9,3,frentzen,1:21.296
9,4,irvine,1:21.936
9,5,michael_schumacher,1:21.470
9,6,wurz,1:22.507
9,7,villeneuve,1:22.222
9,8,fisichella,1:22.215
9,9,barrichello,1:22.560
9,10,alesi,1:22.907
9,11,panis,1:22.625
9,12,trulli,1:23.060
9,13,herbert,1:22.837
9,14,damon_hill,1:23.169
9,15,magnussen,1:23.060
9,16,takagi,1:23.491
9,17,rosset,1:24.492
9,18,salo,1:23.962
9,19,tuero,1:24.035
9,20,diniz,1:23.891
