position,number,driver,constructor,Q1,Q2,Q3
1,7,David Coulthard,McLaren,1:25.852,,
2,3,Michael Schumacher,Ferrari,1:26.251,,
3,8,Mika Häkkinen,McLaren,1:26.632,,
4,4,Eddie Irvine,Ferrari,1:26.780,,
5,10,Ralf Schumacher,Jordan,1:26.827,,
6,2,Heinz-Harald Frentzen,Williams,1:26.876,,
7,1,Jacques Villeneuve,Williams,1:26.941,,
8,6,Alexander Wurz,Benetton,1:27.198,,
9,9,Damon Hill,Jordan,1:27.483,,
10,5,Giancarlo Fisichella,Benetton,1:27.836,,
11,14,Jean Alesi,Sauber,1:27.839,,
12,15,Johnny Herbert,Sauber,1:28.016,,
13,18,Toranosuke Takagi,Tyrrell,1:28.811,,
14,18,Rubens Barrichello,Stewart,1:29.249,,
15,11,Olivier Panis,Prost,1:29.320,,
16,12,Jarno Trulli,Prost,1:29.352,,
17,17,Mika Salo,Arrows,1:29.617,,
18,16,Pedro Diniz,Arrows,1:29.617,,
19,22,Shinji Nakano,Minardi,1:30.054,,
20,23,Esteban Tuero,Minardi,1:30.158,,
21,20,Ricardo Rosset,Tyrrell,1:30.437,,
22,19,Jan Magnussen,Stewart,1:31.178,,
