lap,position,driver,time
1,1,michael_schumacher,1:48.384
1,2,irvine,1:50.182
1,3,coulthard,1:50.509
1,4,hakkinen,1:51.520
1,5,barrichello,1:51.996
1,6,herbert,1:53.640
1,7,wurz,1:54.566
1,8,ralf_schumacher,1:55.531
1,9,villeneuve,1:56.105
1,10,alesi,1:56.630
1,11,frentzen,1:58.027
1,12,gene,1:59.016
1,13,zanardi,1:59.731
1,14,badoer,2:00.308
1,15,takagi,2:01.253
1,16,panis,2:01.352
1,17,rosa,2:02.211
1,18,diniz,2:05.522
1,19,zonta,2:08.355
1,20,fisichella,2:54.803
2,1,michael_schumacher,1:44.022
2,2,irvine,1:45.391
2,3,coulthard,1:45.515
2,4,hakkinen,1:45.226
2,5,barrichello,1:45.392
2,6,herbert,1:45.484
2,7,wurz,1:46.112
2,8,ralf_schumacher,1:46.756
2,9,villeneuve,1:46.774
2,10,alesi,1:46.663
2,11,frentzen,1:46.742
2,12,gene,1:46.807
2,13,zanardi,1:47.936
2,14,badoer,1:48.288
2,15,takagi,1:47.489
2,16,panis,1:47.751
2,17,rosa,1:48.214
2,18,diniz,1:47.056
2,19,zonta,1:46.444
2,20,fisichella,8:24.090
3,1,michael_schumacher,1:46.702
3,2,irvine,1:44.555
3,3,coulthard,1:44.822
3,4,hakkinen,1:45.130
3,5,barrichello,1:45.643
3,6,herbert,1:45.882
3,7,wurz,1:46.287
3,8,ralf_schumacher,1:46.943
3,9,villeneuve,1:46.901
3,10,alesi,1:47.033
3,11,frentzen,1:46.689
3,12,gene,1:46.639
3,13,takagi,1:46.928
3,14,badoer,1:48.151
3,15,panis,1:48.759
3,16,zanardi,1:51.623
3,17,diniz,1:46.838
3,18,rosa,1:49.746
3,19,zonta,1:46.567
3,20,fisichella,1:45.092
4,1,irvine,1:44.863
4,2,michael_schumacher,1:46.939
4,3,coulthard,1:45.714
4,4,hakkinen,1:45.141
4,5,barrichello,1:45.403
4,6,herbert,1:45.447
4,7,wurz,1:46.057
4,8,ralf_schumacher,1:46.605
4,9,villeneuve,1:46.504
4,10,alesi,1:46.398
4,11,frentzen,1:46.627
4,12,gene,1:46.807
4,13,takagi,1:46.441
4,14,badoer,1:47.300
4,15,panis,1:46.874
4,16,diniz,1:45.539
4,17,rosa,1:47.618
4,18,zonta,1:47.019
4,19,zanardi,2:05.660
4,20,fisichella,1:46.425
5,1,irvine,1:43.972
5,2,coulthard,1:44.329
5,3,michael_schumacher,1:45.629
5,4,hakkinen,1:45.643
5,5,barrichello,1:45.068
5,6,herbert,1:45.353
5,7,wurz,1:45.707
5,8,ralf_schumacher,1:46.418
5,9,villeneuve,1:46.356
5,10,alesi,1:46.193
5,11,frentzen,1:46.375
5,12,gene,1:46.976
5,13,takagi,1:46.579
5,14,diniz,1:47.989
5,15,panis,1:49.338
5,16,zonta,1:47.656
5,17,rosa,1:48.522
5,18,badoer,2:03.663
5,19,zanardi,1:45.507
5,20,fisichella,1:46.520
6,1,irvine,1:43.610
6,2,coulthard,1:43.227
6,3,michael_schumacher,1:44.547
6,4,hakkinen,1:44.350
6,5,barrichello,1:44.486
6,6,herbert,1:45.152
6,7,wurz,1:45.119
6,8,alesi,1:45.881
6,9,ralf_schumacher,1:46.960
6,10,villeneuve,1:47.586
6,11,frentzen,1:46.642
6,12,gene,1:46.871
6,13,takagi,1:46.854
6,14,diniz,1:45.064
6,15,zonta,1:48.369
6,16,rosa,1:48.959
6,17,zanardi,1:46.132
6,18,badoer,1:59.724
6,19,fisichella,1:45.438
7,1,irvine,1:43.988
7,2,coulthard,1:43.617
7,3,michael_schumacher,1:43.888
7,4,hakkinen,1:44.032
7,5,barrichello,1:44.626
7,6,herbert,1:44.720
7,7,wurz,1:44.818
7,8,alesi,1:44.446
7,9,ralf_schumacher,1:46.567
7,10,villeneuve,1:45.774
7,11,frentzen,1:46.273
7,12,gene,1:46.267
7,13,diniz,1:44.815
7,14,rosa,1:47.685
7,15,zanardi,1:47.072
7,16,badoer,1:48.382
7,17,takagi,4:26.557
7,18,fisichella,1:44.185
8,1,irvine,1:44.022
8,2,coulthard,1:43.516
8,3,michael_schumacher,1:43.752
8,4,hakkinen,1:43.905
8,5,barrichello,1:43.961
8,6,herbert,1:44.517
8,7,wurz,1:45.106
8,8,alesi,1:43.939
8,9,villeneuve,1:46.411
8,10,frentzen,1:46.248
8,11,gene,1:46.606
8,12,diniz,1:44.730
8,13,rosa,1:46.600
8,14,zanardi,1:46.404
8,15,badoer,1:47.342
8,16,fisichella,1:43.883
9,1,irvine,1:43.450
9,2,coulthard,1:43.470
9,3,michael_schumacher,1:43.541
9,4,hakkinen,1:44.138
9,5,barrichello,1:44.046
9,6,herbert,1:44.282
9,7,wurz,1:44.353
9,8,alesi,1:43.695
9,9,villeneuve,1:44.529
9,10,frentzen,1:45.450
9,11,gene,1:45.821
9,12,diniz,1:44.638
9,13,rosa,1:46.126
9,14,zanardi,1:46.516
9,15,badoer,1:46.367
9,16,fisichella,1:43.837
10,1,irvine,1:43.297
10,2,coulthard,1:43.350
10,3,michael_schumacher,1:43.294
10,4,hakkinen,1:43.478
10,5,barrichello,1:43.258
10,6,herbert,1:43.740
10,7,wurz,1:43.716
10,8,alesi,1:43.508
10,9,villeneuve,1:44.165
10,10,frentzen,1:44.803
10,11,diniz,1:44.618
10,12,gene,1:46.938
10,13,rosa,1:46.400
10,14,zanardi,1:48.252
10,15,badoer,1:46.654
10,16,fisichella,1:43.529
11,1,irvine,1:43.161
11,2,coulthard,1:42.940
11,3,michael_schumacher,1:43.012
11,4,hakkinen,1:42.791
11,5,barrichello,1:43.451
11,6,herbert,1:43.624
11,7,wurz,1:43.793
11,8,alesi,1:43.461
11,9,villeneuve,1:43.782
11,10,frentzen,1:44.511
11,11,diniz,1:43.512
11,12,gene,1:45.779
11,13,rosa,1:46.138
11,14,zanardi,1:46.522
11,15,badoer,1:50.378
11,16,fisichella,1:43.340
12,1,irvine,1:43.675
12,2,coulthard,1:43.542
12,3,michael_schumacher,1:43.656
12,4,hakkinen,1:43.153
12,5,barrichello,1:43.643
12,6,herbert,1:43.523
12,7,wurz,1:43.588
12,8,alesi,1:43.221
12,9,villeneuve,1:43.654
12,10,frentzen,1:44.771
12,11,diniz,1:43.740
12,12,gene,1:45.456
12,13,rosa,1:45.645
12,14,zanardi,1:46.321
12,15,badoer,1:54.538
12,16,fisichella,1:43.632
13,1,irvine,1:43.160
13,2,coulthard,1:43.194
13,3,michael_schumacher,1:42.949
13,4,hakkinen,1:42.911
13,5,barrichello,1:43.069
13,6,herbert,1:43.348
13,7,wurz,1:43.795
13,8,alesi,1:42.958
13,9,villeneuve,1:43.346
13,10,frentzen,1:44.010
13,11,diniz,1:43.687
13,12,gene,1:45.523
13,13,rosa,1:45.535
13,14,zanardi,1:45.687
13,15,badoer,2:15.013
13,16,fisichella,1:43.864
14,1,irvine,1:43.021
14,2,coulthard,1:43.058
14,3,michael_schumacher,1:42.681
14,4,hakkinen,1:43.392
14,5,barrichello,1:42.916
14,6,herbert,1:43.075
14,7,wurz,1:43.783
14,8,alesi,1:43.403
14,9,villeneuve,1:43.208
14,10,frentzen,1:44.175
14,11,diniz,1:43.915
14,12,gene,1:45.293
14,13,rosa,1:45.414
14,14,zanardi,1:45.153
14,15,badoer,1:49.007
14,16,fisichella,1:43.094
15,1,irvine,1:42.523
15,2,michael_schumacher,1:42.888
15,3,hakkinen,1:42.456
15,4,barrichello,1:42.391
15,5,herbert,1:42.961
15,6,wurz,1:43.423
15,7,alesi,1:43.660
15,8,villeneuve,1:43.403
15,9,frentzen,1:43.327
15,10,diniz,1:43.598
15,11,gene,1:44.872
15,12,rosa,1:45.009
15,13,zanardi,1:44.838
