position,number,driver,constructor,Q1,Q2,Q3
1,1,Mika Häkkinen,McLaren,1:26.362,,
2,2,David Coulthard,McLaren,1:26.384,,
3,3,Michael Schumacher,Ferrari,1:26.538,,
4,4,Eddie Irvine,Ferrari,1:26.993,,
5,22,Jacques Villeneuve,BAR,1:27.313,,
6,16,Rubens Barrichello,Stewart,1:27.409,,
7,8,Heinz-Harald Frentzen,Jordan,1:27.613,,
8,7,Damon Hill,Jordan,1:27.708,,
9,6,Ralf Schumacher,Williams,1:27.770,,
10,5,Alessandro Zanardi,Williams,1:28.142,,
11,18,Olivier Panis,Prost,1:28.205,,
12,17,Johnny Herbert,Stewart,1:28.246,,
13,11,Jean Alesi,Sauber,1:28.253,,
14,19,Jarno Trulli,Prost,1:28.403,,
15,12,Pedro Diniz,Sauber,1:28.599,,
16,9,Giancarlo Fisichella,Benetton,1:28.750,,
17,10,Alexander Wurz,Benetton,1:28.765,,
18,14,Pedro de la Rosa,Arrows,1:29.293,,
19,23,Mika Salo,BAR,1:29.451,,
20,15,Toranosuke Takagi,Arrows,1:29.656,,
21,21,Marc Gené,Minardi,1:30.035,,
22,22,Luca Badoer,Minardi,1:30.945,,
