lap,position,driver,time
1,1,hakkinen,1:30.286
1,2,michael_schumacher,1:31.492
1,3,barrichello,1:34.651
1,4,coulthard,1:35.201
1,5,villeneuve,1:35.789
1,6,trulli,1:36.544
1,7,frentzen,1:37.116
1,8,irvine,1:37.737
1,9,ralf_schumacher,1:38.263
1,10,salo,1:38.701
1,11,verstappen,1:39.150
1,12,zonta,1:39.568
1,13,diniz,1:40.257
1,14,rosa,1:40.634
1,15,alesi,1:40.892
1,16,wurz,1:41.720
1,17,button,1:42.039
1,18,gene,1:42.880
1,19,herbert,1:43.163
1,20,fisichella,1:43.490
1,21,mazzacane,1:44.088
1,22,heidfeld,2:27.265
2,1,hakkinen,1:29.089
2,2,michael_schumacher,1:28.962
2,3,barrichello,1:30.546
2,4,coulthard,1:30.524
2,5,villeneuve,1:31.543
2,6,trulli,1:31.513
2,7,frentzen,1:31.772
2,8,irvine,1:31.678
2,9,ralf_schumacher,1:31.636
2,10,salo,1:31.803
2,11,verstappen,1:31.821
2,12,zonta,1:31.945
2,13,diniz,1:32.275
2,14,rosa,1:32.577
2,15,alesi,1:32.694
2,16,wurz,1:33.026
2,17,button,1:33.024
2,18,gene,1:32.915
2,19,herbert,1:33.067
2,20,fisichella,1:33.500
2,21,mazzacane,1:33.320
2,22,heidfeld,1:29.681
3,1,hakkinen,1:29.161
3,2,michael_schumacher,1:29.181
3,3,barrichello,1:30.450
3,4,coulthard,1:30.460
3,5,villeneuve,1:30.972
3,6,trulli,1:31.098
3,7,frentzen,1:31.503
3,8,irvine,1:31.313
3,9,ralf_schumacher,1:31.471
3,10,salo,1:31.509
3,11,verstappen,1:31.494
3,12,zonta,1:31.457
3,13,diniz,1:31.437
3,14,rosa,1:31.628
3,15,alesi,1:31.674
3,16,wurz,1:32.112
3,17,button,1:32.277
3,18,gene,1:32.501
3,19,herbert,1:32.631
3,20,fisichella,1:32.912
3,21,heidfeld,1:30.969
3,22,mazzacane,2:24.953
4,1,hakkinen,1:28.993
4,2,michael_schumacher,1:29.077
4,3,barrichello,1:30.011
4,4,coulthard,1:29.955
4,5,villeneuve,1:30.427
4,6,trulli,1:30.798
