lap,position,driver,time
1,1,michael_schumacher,1:22.753
1,2,ralf_schumacher,1:24.374
1,3,barrichello,1:24.874
1,4,raikkonen,1:26.007
1,5,montoya,1:26.825
1,6,trulli,1:27.819
1,7,coulthard,1:28.635
1,8,fisichella,1:29.308
1,9,panis,1:29.778
1,10,button,1:30.135
1,11,massa,1:30.470
1,12,heidfeld,1:30.929
1,13,sato,1:31.475
1,14,villeneuve,1:31.900
1,15,mcnish,1:32.523
1,16,irvine,1:33.127
1,17,bernoldi,1:33.431
1,18,salo,1:33.893
1,19,webber,1:34.624
1,20,frentzen,5:15.810
2,1,michael_schumacher,1:18.884
2,2,ralf_schumacher,1:19.818
2,3,barrichello,1:19.961
2,4,raikkonen,1:19.446
2,5,montoya,1:19.354
2,6,trulli,1:19.932
2,7,coulthard,1:20.016
2,8,fisichella,1:20.359
2,9,panis,1:20.569
2,10,button,1:20.774
2,11,massa,1:21.042
2,12,heidfeld,1:21.038
2,13,villeneuve,1:21.412
2,14,sato,1:22.598
2,15,mcnish,1:21.940
2,16,irvine,1:21.756
2,17,bernoldi,1:22.303
2,18,salo,1:22.270
2,19,webber,1:22.126
2,20,frentzen,1:22.579
3,1,michael_schumacher,1:18.090
3,2,ralf_schumacher,1:18.413
3,3,barrichello,1:18.788
3,4,raikkonen,1:19.462
3,5,montoya,1:19.301
3,6,trulli,1:20.468
3,7,coulthard,1:20.060
3,8,fisichella,1:20.204
3,9,panis,1:20.393
3,10,button,1:20.653
3,11,massa,1:20.102
3,12,heidfeld,1:20.382
3,13,villeneuve,1:20.691
3,14,sato,1:20.782
3,15,irvine,1:20.737
3,16,mcnish,1:22.092
3,17,bernoldi,1:21.211
3,18,webber,1:21.206
3,19,salo,1:22.214
3,20,frentzen,1:26.701
4,1,michael_schumacher,1:18.193
4,2,ralf_schumacher,1:18.738
4,3,barrichello,1:18.874
4,4,raikkonen,1:19.388
4,5,montoya,1:19.193
4,6,trulli,1:20.300
4,7,coulthard,1:20.243
4,8,fisichella,1:20.081
4,9,panis,1:19.841
4,10,massa,1:19.665
4,11,heidfeld,1:20.206
4,12,button,1:22.164
4,13,villeneuve,1:20.960
4,14,sato,1:20.694
4,15,irvine,1:20.547
4,16,bernoldi,1:20.319
4,17,mcnish,1:21.501
4,18,webber,1:20.767
4,19,salo,1:21.208
4,20,frentzen,1:20.468
5,1,michael_schumacher,1:17.879
5,2,ralf_schumacher,1:18.520
5,3,barrichello,1:18.545
5,4,raikkonen,1:19.244
5,5,montoya,1:19.965
5,6,trulli,1:20.101
5,7,coulthard,1:20.165
5,8,fisichella,1:20.198
5,9,panis,1:20.403
5,10,massa,1:20.205
5,11,heidfeld,1:19.494
5,12,button,1:20.999
5,13,villeneuve,1:20.282
5,14,sato,1:20.409
5,15,irvine,1:20.618
5,16,bernoldi,1:20.344
5,17,mcnish,1:20.579
5,18,webber,1:20.347
5,19,salo,1:20.425
5,20,frentzen,1:20.396
6,1,michael_schumacher,1:18.214
6,2,ralf_schumacher,1:18.720
6,3,barrichello,1:18.633
6,4,raikkonen,1:19.905
6,5,montoya,1:19.639
6,6,trulli,1:20.076
6,7,coulthard,1:20.223
6,8,fisichella,1:20.786
6,9,panis,1:20.988
6,10,massa,1:20.995
6,11,heidfeld,1:20.866
6,12,villeneuve,1:21.099
6,13,sato,1:21.134
6,14,button,1:23.532
6,15,bernoldi,1:22.042
6,16,mcnish,1:21.827
6,17,webber,1:21.749
6,18,salo,1:21.227
6,19,irvine,1:27.985
6,20,frentzen,1:20.387
7,1,michael_schumacher,1:18.198
7,2,ralf_schumacher,1:18.553
7,3,barrichello,1:18.414
7,4,raikkonen,1:20.048
7,5,montoya,1:19.711
7,6,trulli,1:20.406
7,7,coulthard,1:20.186
7,8,fisichella,1:20.236
7,9,panis,1:20.442
7,10,massa,1:20.371
7,11,heidfeld,1:20.657
7,12,villeneuve,1:20.538
7,13,sato,1:20.519
7,14,bernoldi,1:21.245
7,15,mcnish,1:21.321
7,16,webber,1:21.572
7,17,button,1:25.955
7,18,salo,1:23.748
7,19,irvine,1:20.991
7,20,frentzen,1:20.595
8,1,michael_schumacher,1:18.298
