position,number,driver,constructor,Q1,Q2,Q3
1,1,Michael Schumacher,Ferrari,1:20.963,,
2,3,Juan Pablo Montoya,Williams,1:21.014,,
3,2,Rubens Barrichello,Ferrari,1:21.242,,
4,6,Kimi Räikkönen,McLaren,1:21.466,,
5,4,Marc Gené,Williams,1:21.834,,
6,7,Jarno Trulli,Renault,1:21.944,,
7,17,Jenson Button,BAR,1:22.301,,
8,5,David Coulthard,McLaren,1:22.471,,
9,20,Olivier Panis,Toyota,1:22.488,,
10,16,Jacques Villeneuve,BAR,1:22.717,,
11,14,Mark Webber,Jaguar,1:22.754,,
12,21,Cristiano da Matta,Toyota,1:22.914,,
13,11,Giancarlo Fisichella,Jordan,1:22.992,,
14,10,Heinz-Harald Frentzen,Sauber,1:23.216,,
15,15,Justin Wilson,Jaguar,1:23.484,,
16,9,Nick Heidfeld,Sauber,1:23.803,,
17,19,Jos Verstappen,Minardi,1:25.078,,
18,12,Zsolt Baumgartner,Jordan,1:25.881,,
19,18,Nicolas Kiesa,Minardi,1:26.778,,
20,8,Fernando Alonso,Renault,1:40.405,,
