position,number,driver,constructor,Q1,Q2,Q3
1,4,Ralf Schumacher,Williams,1:12.275,,
2,9,Jenson Button,BAR,1:12.341,,
3,7,Jarno Trulli,Renault,1:13.023,,
4,3,Juan Pablo Montoya,Williams,1:13.072,,
5,8,Fernando Alonso,Renault,1:13.308,,
6,1,Michael Schumacher,Ferrari,1:13.355,,
7,2,Rubens Barrichello,Ferrari,1:13.562,,
8,6,Kimi Räikkönen,McLaren,1:13.595,,
9,5,David Coulthard,McLaren,1:13.681,,
10,15,Christian Klien,Jaguar,1:14.532,,
11,11,Giancarlo Fisichella,Sauber,1:14.674,,
12,16,Cristiano da Matta,Toyota,1:14.851,,
13,17,Olivier Panis,Toyota,1:14.891,,
14,14,Mark Webber,Jaguar,1:15.148,,
15,18,Nick Heidfeld,Jordan,1:15.321,,
16,19,Timo Glock,Jordan,1:16.323,,
17,10,Takuma Sato,BAR,1:17.004,,
18,21,Zsolt Baumgartner,Minardi,1:17.064,,
19,12,Felipe Massa,Sauber,,,
20,20,Gianmaria Bruni,Minardi,,,
