position,number,driver,constructor,laps,grid,status,points
1,9,Kimi Räikkönen,McLaren,70,7,Finished,10
2,1,Michael Schumacher,Ferrari,70,2,Finished,8
3,2,Rubens Barrichello,Ferrari,70,20,Finished,6
4,12,Felipe Massa,Sauber,70,11,Finished,5
5,7,Mark Webber,Williams,70,14,Finished,4
6,17,Ralf Schumacher,Toyota,69,10,+1 Lap,3
7,14,David Coulthard,Red Bull,69,12,+1 Lap,2
8,15,Christian Klien,Red Bull,69,16,+1 Lap,1
9,11,Jacques Villeneuve,Sauber,69,8,+1 Lap,0
10,18,Tiago Monteiro,Jordan,67,18,+3 Laps,0
11,21,Christijan Albers,Minardi,67,15,+3 Laps,0
12,16,Jarno Trulli,Toyota,62,9,Brakes,0
13,3,Jenson Button,BAR,46,1,Accident,0
14,8,Nick Heidfeld,Williams,43,13,Engine,0
15,4,Takuma Sato,BAR,40,6,Brakes,0
16,20,Patrick Friesacher,Minardi,39,19,Hydraulics,0
17,5,Fernando Alonso,Renault,38,3,Suspension,0
18,6,Giancarlo Fisichella,Renault,32,4,Hydraulics,0
19,19,Narain Karthikeyan,Jordan,24,17,Suspension,0
20,10,Juan Pablo Montoya,McLaren,52,5,Disqualified,0
