Position,Driver,Constructor,Points,Wins
1,Fernando Alonso,Renault,108,6
2,Michael Schumacher,Ferrari,96,5
3,Felipe Massa,Ferrari,62,1
4,Giancarlo Fisichella,Renault,52,1
5,Kimi Räikkönen,McLaren,49,0
6,Jenson Button,Honda,36,1
7,Juan Pablo Montoya,McLaren,26,0
8,Rubens Barrichello,Honda,22,0
9,Nick Heidfeld,BMW Sauber,19,0
10,Ralf Schumacher,Toyota,18,0
11,Pedro de la Rosa,McLaren,14,0
12,David Coulthard,Red Bull,14,0
13,Jarno Trulli,Toyota,10,0
14,Jacques Villeneuve,BMW Sauber,7,0
15,Mark Webber,Williams,6,0
16,Nico Rosberg,Williams,4,0
17,Christian Klien,Red Bull,2,0
18,Vitantonio Liuzzi,Toro Rosso,1,0
19,Scott Speed,Toro Rosso,0,0
20,Tiago Monteiro,MF1,0,0
21,Christijan Albers,MF1,0,0
22,Takuma Sato,Super Aguri,0,0
23,Robert Kubica,BMW Sauber,0,0
24,Yuji Ide,Super Aguri,0,0
25,Franck Montagny,Super Aguri,0,0
