lap,position,driver,time
1,1,raikkonen,1:51.809
1,2,massa,1:53.193
1,3,alonso,1:53.799
1,4,hamilton,1:54.378
1,5,rosberg,1:55.900
1,6,kovalainen,1:57.262
1,7,webber,1:57.513
1,8,heidfeld,1:57.992
1,9,ralf_schumacher,1:58.728
1,10,coulthard,1:59.599
1,11,trulli,2:00.118
1,12,button,2:00.539
1,13,kubica,2:01.015
1,14,liuzzi,2:01.648
1,15,sutil,2:01.909
1,16,wurz,2:02.849
1,17,barrichello,2:03.692
1,18,vettel,2:04.228
1,19,sato,2:04.616
1,20,yamamoto,2:05.177
1,21,davidson,2:08.086
1,22,fisichella,2:37.259
2,1,raikkonen,1:49.385
2,2,massa,1:49.377
2,3,alonso,1:49.869
2,4,hamilton,1:50.048
2,5,rosberg,1:51.069
2,6,kovalainen,1:52.214
2,7,webber,1:52.214
2,8,heidfeld,1:52.203
2,9,ralf_schumacher,1:52.923
2,10,coulthard,1:53.432
2,11,trulli,1:53.334
2,12,kubica,1:53.312
2,13,button,1:55.202
2,14,sutil,1:53.988
2,15,liuzzi,1:55.836
2,16,barrichello,1:55.468
2,17,vettel,1:55.173
2,18,sato,1:55.168
2,19,yamamoto,1:55.166
2,20,davidson,1:53.959
2,21,wurz,2:06.780
3,1,raikkonen,1:48.994
3,2,massa,1:49.357
3,3,alonso,1:49.750
3,4,hamilton,1:50.228
3,5,rosberg,1:51.044
3,6,webber,1:50.530
3,7,kovalainen,1:52.609
3,8,heidfeld,1:52.499
3,9,ralf_schumacher,1:52.182
3,10,kubica,1:51.975
3,11,coulthard,1:53.542
3,12,trulli,1:53.553
3,13,sutil,1:52.745
3,14,button,1:53.934
3,15,liuzzi,1:53.442
3,16,vettel,1:52.789
3,17,barrichello,1:55.101
3,18,sato,1:54.579
3,19,yamamoto,1:54.765
3,20,davidson,1:54.334
3,21,wurz,1:53.214
4,1,raikkonen,1:49.115
4,2,massa,1:49.100
4,3,alonso,1:49.590
4,4,hamilton,1:50.008
4,5,rosberg,1:51.042
4,6,webber,1:50.663
4,7,heidfeld,1:52.067
4,8,kovalainen,1:52.732
4,9,ralf_schumacher,1:52.252
4,10,kubica,1:51.070
4,11,coulthard,1:53.523
4,12,trulli,1:53.325
4,13,sutil,1:52.493
4,14,button,1:53.038
4,15,liuzzi,1:53.111
4,16,vettel,1:52.724
4,17,sato,1:54.330
4,18,barrichello,1:55.232
4,19,yamamoto,1:54.835
4,20,davidson,1:54.342
