position,number,driver,constructor,Q1,Q2,Q3
1,2,Lewis Hamilton,McLaren,1:25.489,1:24.753,1:25.368
2,1,Fernando Alonso,McLaren,1:25.379,1:24.806,1:25.438
3,6,Kimi Räikkönen,Ferrari,1:25.390,1:24.988,1:25.516
4,5,Felipe Massa,Ferrari,1:25.359,1:25.049,1:25.765
5,9,Nick Heidfeld,BMW Sauber,1:25.971,1:25.248,1:26.505
6,7,Jenson Button,Honda,1:26.614,1:25.454,1:26.913
7,15,Mark Webber,Red Bull,1:25.970,1:25.535,1:26.914
8,19,Sebastian Vettel,Toro Rosso,1:26.025,1:25.909,1:26.973
9,10,Robert Kubica,BMW Sauber,1:26.300,1:25.530,1:27.225
10,3,Giancarlo Fisichella,Renault,1:26.909,1:26.033,
11,4,Heikki Kovalainen,Renault,1:27.223,1:26.232,
12,14,David Coulthard,Red Bull,1:26.904,1:26.247,
13,12,Jarno Trulli,Toyota,1:26.711,1:26.253,
14,18,Vitantonio Liuzzi,Toro Rosso,1:27.234,1:26.948,
15,11,Ralf Schumacher,Toyota,1:27.191,,
16,16,Nico Rosberg,Williams,1:26.579,1:25.816,1:26.728
17,8,Rubens Barrichello,Honda,1:27.323,,
18,17,Alexander Wurz,Williams,1:27.454,,
19,23,Anthony Davidson,Super Aguri,1:27.564,,
20,20,Adrian Sutil,Spyker,1:28.628,,
21,22,Takuma Sato,Super Aguri,1:28.762,,
22,21,Sakon Yamamoto,Spyker,1:29.668,,
