lap,position,driver,time
1,1,alonso,1:24.494
1,2,hamilton,1:25.051
1,3,massa,1:26.484
1,4,fisichella,1:27.414
1,5,heidfeld,1:29.283
1,6,rosberg,1:29.764
1,7,barrichello,1:31.123
1,8,webber,1:32.110
1,9,kubica,1:32.734
1,10,wurz,1:33.546
1,11,button,1:33.942
1,12,raikkonen,1:34.371
1,13,liuzzi,1:35.137
1,14,speed,1:35.706
1,15,coulthard,1:36.131
1,16,kovalainen,1:36.820
1,17,sato,1:37.278
1,18,trulli,1:38.740
1,19,davidson,1:39.204
1,20,sutil,1:39.860
1,21,albers,1:40.416
1,22,ralf_schumacher,1:41.290
2,1,alonso,1:17.802
2,2,hamilton,1:18.386
2,3,massa,1:18.831
2,4,fisichella,1:19.674
2,5,heidfeld,1:19.547
2,6,rosberg,1:20.170
2,7,barrichello,1:21.180
2,8,webber,1:20.678
2,9,kubica,1:21.007
2,10,wurz,1:21.709
2,11,button,1:22.140
2,12,raikkonen,1:22.361
2,13,speed,1:23.070
2,14,coulthard,1:23.263
2,15,kovalainen,1:23.512
2,16,sato,1:23.717
2,17,trulli,1:24.247
2,18,davidson,1:24.328
2,19,sutil,1:24.365
2,20,albers,1:24.436
2,21,ralf_schumacher,1:24.426
3,1,alonso,1:19.560
3,2,hamilton,1:19.458
3,3,massa,1:19.142
3,4,fisichella,1:19.733
3,5,heidfeld,1:21.153
3,6,rosberg,1:20.873
3,7,barrichello,1:21.013
3,8,webber,1:21.095
3,9,kubica,1:20.752
3,10,wurz,1:21.085
3,11,button,1:21.559
3,12,raikkonen,1:21.408
3,13,speed,1:21.326
3,14,coulthard,1:21.572
3,15,kovalainen,1:21.665
3,16,sato,1:21.647
3,17,trulli,1:22.283
3,18,davidson,1:22.390
3,19,sutil,1:22.420
3,20,albers,1:22.849
3,21,ralf_schumacher,1:22.803
4,1,alonso,1:16.787
4,2,hamilton,1:17.593
4,3,massa,1:17.662
4,4,fisichella,1:18.361
4,5,heidfeld,1:19.118
4,6,rosberg,1:19.068
4,7,barrichello,1:20.107
4,8,webber,1:19.967
4,9,kubica,1:20.117
4,10,wurz,1:19.951
4,11,button,1:19.931
4,12,raikkonen,1:20.331
4,13,speed,1:20.382
4,14,coulthard,1:20.886
4,15,kovalainen,1:20.872
4,16,sato,1:20.925
4,17,trulli,1:20.953
4,18,davidson,1:20.998
4,19,sutil,1:21.540
4,20,albers,1:21.588
4,21,ralf_schumacher,1:21.814
5,1,alonso,1:16.515
5,2,hamilton,1:17.233
5,3,massa,1:17.483
5,4,fisichella,1:18.211
5,5,heidfeld,1:19.336
5,6,rosberg,1:19.359
5,7,barrichello,1:19.881
5,8,webber,1:19.894
5,9,kubica,1:19.908
5,10,wurz,1:19.877
5,11,button,1:20.128
5,12,raikkonen,1:19.983
5,13,speed,1:20.140
5,14,coulthard,1:20.562
5,15,kovalainen,1:20.607
5,16,sato,1:21.250
5,17,trulli,1:20.394
5,18,davidson,1:20.360
5,19,sutil,1:20.740
5,20,albers,1:21.226
5,21,ralf_schumacher,1:21.126
6,1,alonso,1:16.611
6,2,hamilton,1:16.954
6,3,massa,1:17.087
6,4,fisichella,1:18.203
6,5,heidfeld,1:19.306
6,6,rosberg,1:19.027
6,7,barrichello,1:19.876
6,8,webber,1:19.836
6,9,kubica,1:20.012
6,10,wurz,1:20.000
6,11,button,1:19.728
6,12,raikkonen,1:19.743
6,13,speed,1:19.987
6,14,coulthard,1:20.132
6,15,kovalainen,1:20.243
6,16,sato,1:20.762
6,17,trulli,1:20.605
6,18,davidson,1:20.643
6,19,sutil,1:20.710
6,20,albers,1:21.005
6,21,ralf_schumacher,1:21.083
7,1,alonso,1:17.040
7,2,hamilton,1:17.257
7,3,massa,1:17.679
7,4,fisichella,1:18.033
7,5,heidfeld,1:19.808
7,6,rosberg,1:19.905
7,7,barrichello,1:20.129
7,8,webber,1:20.134
7,9,kubica,1:19.894
7,10,wurz,1:19.826
7,11,button,1:19.953
7,12,raikkonen,1:19.897
7,13,speed,1:19.696
7,14,coulthard,1:20.227
7,15,kovalainen,1:20.192
7,16,trulli,1:20.896
7,17,sato,1:23.577
7,18,davidson,1:21.914
7,19,sutil,1:21.134
7,20,albers,1:21.032
7,21,ralf_schumacher,1:21.298
8,1,alonso,1:16.877
8,2,hamilton,1:16.907
8,3,massa,1:17.421
8,4,fisichella,1:18.207
8,5,heidfeld,1:19.701
8,6,rosberg,1:19.677
8,7,barrichello,1:19.751
8,8,webber,1:19.814
8,9,kubica,1:19.938
8,10,wurz,1:19.734
8,11,button,1:19.715
8,12,raikkonen,1:19.725
8,13,speed,1:19.699
8,14,coulthard,1:20.351
8,15,kovalainen,1:20.154
8,16,trulli,1:20.178
8,17,sato,1:20.249
8,18,davidson,1:20.218
8,19,sutil,1:21.072
8,20,albers,1:21.235
8,21,ralf_schumacher,1:20.840
9,1,alonso,1:17.095
9,2,hamilton,1:17.123
9,3,massa,1:17.631
9,4,fisichella,1:18.115
9,5,heidfeld,1:19.707
9,6,rosberg,1:19.974
9,7,barrichello,1:20.100
9,8,webber,1:20.081
9,9,kubica,1:19.898
9,10,wurz,1:20.288
9,11,button,1:19.956
9,12,raikkonen,1:19.837
9,13,speed,1:19.774
9,14,coulthard,1:20.214
9,15,kovalainen,1:20.038
9,16,trulli,1:20.203
9,17,sato,1:20.106
9,18,davidson,1:20.106
9,19,sutil,1:20.879
9,20,albers,1:21.718
9,21,ralf_schumacher,1:21.715
10,1,alonso,1:16.919
10,2,hamilton,1:17.864
10,3,massa,1:17.451
10,4,fisichella,1:18.386
10,5,heidfeld,1:19.591
10,6,rosberg,1:19.737
10,7,barrichello,1:19.667
10,8,webber,1:19.718
10,9,kubica,1:20.285
10,10,wurz,1:19.945
10,11,button,1:19.903
10,12,raikkonen,1:20.018
10,13,speed,1:19.745
10,14,coulthard,1:20.257
10,15,kovalainen,1:20.283
10,16,trulli,1:19.824
10,17,sato,1:19.943
10,18,davidson,1:20.461
10,19,sutil,1:20.414
10,20,albers,1:21.824
10,21,ralf_schumacher,1:21.582
11,1,alonso,1:16.725
11,2,hamilton,1:17.528
11,3,massa,1:17.635
11,4,fisichella,1:17.824
11,5,heidfeld,1:20.253
11,6,rosberg,1:19.861
11,7,barrichello,1:19.491
11,8,webber,1:19.624
11,9,kubica,1:19.558
11,10,wurz,1:20.325
11,11,button,1:20.110
11,12,raikkonen,1:19.863
11,13,speed,1:19.676
11,14,coulthard,1:20.148
11,15,kovalainen,1:20.162
11,16,trulli,1:20.135
11,17,sato,1:19.962
11,18,davidson,1:20.037
11,19,sutil,1:20.121
11,20,albers,1:21.564
11,21,ralf_schumacher,1:21.802
12,1,alonso,1:17.073
12,2,hamilton,1:17.717
12,3,massa,1:17.545
12,4,fisichella,1:17.932
12,5,heidfeld,1:19.963
12,6,rosberg,1:19.971
12,7,barrichello,1:19.492
12,8,webber,1:19.497
12,9,kubica,1:18.992
12,10,wurz,1:19.434
12,11,button,1:19.762
12,12,raikkonen,1:19.882
12,13,speed,1:20.407
12,14,coulthard,1:20.656
12,15,kovalainen,1:20.359
12,16,trulli,1:20.022
12,17,sato,1:19.941
12,18,davidson,1:19.817
12,19,sutil,1:20.167
12,20,albers,1:21.393
12,21,ralf_schumacher,1:21.355
13,1,alonso,1:16.916
13,2,hamilton,1:17.883
13,3,massa,1:17.204
13,4,fisichella,1:18.374
13,5,heidfeld,1:19.603
13,6,rosberg,1:19.537
13,7,barrichello,1:19.688
13,8,webber,1:19.629
13,9,kubica,1:19.929
13,10,wurz,1:19.205
13,11,button,1:19.362
13,12,raikkonen,1:19.475
13,13,speed,1:19.405
13,14,coulthard,1:20.317
13,15,kovalainen,1:20.410
13,16,trulli,1:20.095
13,17,sato,1:19.915
13,18,davidson,1:20.418
13,19,sutil,1:19.896
13,20,albers,1:22.340
13,21,ralf_schumacher,1:21.922
14,1,alonso,1:16.924
14,2,hamilton,1:17.388
14,3,massa,1:17.297
14,4,fisichella,1:17.669
14,5,heidfeld,1:19.659
14,6,rosberg,1:19.613
14,7,barrichello,1:19.567
14,8,webber,1:19.664
14,9,kubica,1:19.600
14,10,wurz,1:19.291
14,11,button,1:19.221
14,12,raikkonen,1:19.210
14,13,speed,1:19.456
14,14,coulthard,1:20.469
14,15,kovalainen,1:20.436
14,16,trulli,1:20.622
14,17,sato,1:20.536
14,18,davidson,1:20.483
14,19,sutil,1:19.750
14,20,albers,1:21.871
14,21,ralf_schumacher,1:24.177
15,1,alonso,1:17.815
15,2,hamilton,1:17.455
15,3,massa,1:17.415
15,4,fisichella,1:17.858
15,5,heidfeld,1:19.245
15,6,rosberg,1:19.336
15,7,barrichello,1:19.613
15,8,webber,1:19.615
15,9,kubica,1:19.543
15,10,wurz,1:19.457
15,11,button,1:19.326
15,12,raikkonen,1:20.157
15,13,speed,1:19.498
15,14,coulthard,1:20.328
15,15,kovalainen,1:20.227
15,16,trulli,1:20.996
15,17,sato,1:20.877
15,18,davidson,1:20.084
15,19,sutil,1:19.979
15,20,albers,1:22.367
15,21,ralf_schumacher,1:20.198
16,1,alonso,1:17.086
16,2,hamilton,1:17.468
16,3,massa,1:17.501
16,4,fisichella,1:17.686
16,5,heidfeld,1:18.863
16,6,rosberg,1:18.951
16,7,barrichello,1:19.240
