lap,position,driver,time
1,1,massa,1:19.946
1,2,raikkonen,1:21.163
1,3,hamilton,1:21.643
1,4,kubica,1:22.749
1,5,fisichella,1:23.373
1,6,heidfeld,1:24.101
1,7,rosberg,1:25.338
1,8,alonso,1:25.509
1,9,button,1:26.521
1,10,barrichello,1:27.719
1,11,ralf_schumacher,1:28.519
1,12,webber,1:28.870
1,13,coulthard,1:29.341
1,14,speed,1:29.809
1,15,wurz,1:30.546
1,16,sato,1:30.838
1,17,albers,1:31.993
1,18,sutil,1:33.860
1,19,davidson,1:44.767
1,20,kovalainen,1:57.715
1,21,trulli,2:19.632
2,1,massa,1:18.093
2,2,raikkonen,1:18.298
2,3,hamilton,1:18.412
2,4,kubica,1:19.171
2,5,fisichella,1:19.881
2,6,heidfeld,1:19.997
2,7,alonso,1:19.523
2,8,rosberg,1:20.217
2,9,button,1:20.603
2,10,barrichello,1:21.602
2,11,ralf_schumacher,1:21.315
2,12,webber,1:21.364
2,13,coulthard,1:21.424
2,14,speed,1:22.045
2,15,wurz,1:21.974
2,16,sato,1:22.058
2,17,albers,1:22.036
2,18,sutil,1:21.779
2,19,kovalainen,1:42.201
3,1,massa,1:17.504
3,2,raikkonen,1:17.899
3,3,hamilton,1:17.955
3,4,kubica,1:18.489
3,5,fisichella,1:18.907
3,6,heidfeld,1:19.160
3,7,alonso,1:18.677
3,8,rosberg,1:19.188
3,9,button,1:19.619
3,10,barrichello,1:21.047
3,11,ralf_schumacher,1:21.152
3,12,webber,1:21.058
3,13,coulthard,1:21.011
3,14,speed,1:20.899
3,15,wurz,1:20.881
3,16,sato,1:20.866
3,17,albers,1:21.472
3,18,sutil,1:21.373
3,19,kovalainen,1:19.706
4,1,massa,1:17.099
4,2,raikkonen,1:17.565
4,3,hamilton,1:17.692
4,4,kubica,1:18.317
4,5,fisichella,1:18.469
4,6,heidfeld,1:19.028
4,7,alonso,1:18.993
4,8,rosberg,1:18.804
4,9,button,1:19.468
4,10,barrichello,1:20.252
4,11,ralf_schumacher,1:20.328
4,12,webber,1:20.538
4,13,coulthard,1:20.654
4,14,wurz,1:20.540
4,15,speed,1:21.708
4,16,sato,1:21.026
4,17,albers,1:21.371
4,18,sutil,1:21.240
4,19,kovalainen,1:18.865
5,1,massa,1:16.989
5,2,raikkonen,1:17.405
5,3,hamilton,1:17.494
5,4,kubica,1:17.950
5,5,fisichella,1:18.220
5,6,heidfeld,1:20.109
5,7,alonso,1:19.990
5,8,rosberg,1:19.463
5,9,button,1:19.386
5,10,barrichello,1:19.996
5,11,ralf_schumacher,1:19.876
5,12,webber,1:20.012
5,13,coulthard,1:20.274
5,14,wurz,1:19.810
5,15,sato,1:19.932
5,16,speed,1:21.268
5,17,albers,1:20.827
5,18,sutil,1:21.029
5,19,kovalainen,1:19.188
6,1,massa,1:17.079
6,2,raikkonen,1:17.359
6,3,hamilton,1:17.432
6,4,kubica,1:18.572
6,5,fisichella,1:18.221
6,6,heidfeld,1:18.660
6,7,alonso,1:18.980
