Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,McLaren,84,4
2,Felipe Massa,Ferrari,77,5
3,Robert Kubica,BMW Sauber,64,1
4,Kimi Räikkönen,Ferrari,57,2
5,Nick Heidfeld,BMW Sauber,56,0
6,Heikki Kovalainen,McLaren,51,1
7,Fernando Alonso,Renault,38,1
8,Sebastian Vettel,Toro Rosso,27,1
9,Jarno Trulli,Toyota,26,0
10,Timo Glock,Toyota,20,0
11,Mark Webber,Red Bull,20,0
12,Nico Rosberg,Williams,17,0
13,Nelson Piquet Jr.,Renault,13,0
14,Rubens Barrichello,Honda,11,0
15,Kazuki Nakajima,Williams,9,0
16,David Coulthard,Red Bull,8,0
17,Sébastien Bourdais,Toro Rosso,4,0
18,Jenson Button,Honda,3,0
19,Giancarlo Fisichella,Force India,0,0
20,Adrian Sutil,Force India,0,0
21,Takuma Sato,Super Aguri,0,0
22,Anthony Davidson,Super Aguri,0,0
