position,number,driver,constructor,Q1,Q2,Q3
1,1,Kimi Räikkönen,Ferrari,1:20.701,1:20.784,1:21.813
2,5,Fernando Alonso,Renault,1:21.347,1:20.804,1:21.904
3,2,Felipe Massa,Ferrari,1:21.528,1:20.584,1:22.058
4,4,Robert Kubica,BMW Sauber,1:21.423,1:20.597,1:22.065
5,22,Lewis Hamilton,McLaren,1:21.366,1:20.825,1:22.096
6,23,Heikki Kovalainen,McLaren,1:21.430,1:20.817,1:22.231
7,10,Mark Webber,Red Bull,1:21.494,1:20.984,1:22.429
8,11,Jarno Trulli,Toyota,1:21.158,1:20.907,1:22.529
9,3,Nick Heidfeld,BMW Sauber,1:21.466,1:20.815,1:22.542
10,6,Nelson Piquet Jr.,Renault,1:21.409,1:20.894,1:22.699
11,17,Rubens Barrichello,Honda,1:21.548,1:21.049,
12,8,Kazuki Nakajima,Williams,1:21.690,1:21.117,
13,16,Jenson Button,Honda,1:21.757,1:21.211,
14,12,Timo Glock,Toyota,1:21.427,1:21.230,
15,7,Nico Rosberg,Williams,1:21.472,1:21.349,
16,14,Sébastien Bourdais,Toro Rosso,1:21.540,1:21.724,
17,9,David Coulthard,Red Bull,1:21.810,,
18,15,Sebastian Vettel,Toro Rosso,1:22.108,,
19,21,Giancarlo Fisichella,Force India,1:22.516,,
20,20,Adrian Sutil,Force India,1:23.224,,
21,19,Anthony Davidson,Super Aguri,1:23.318,,
22,18,Takuma Sato,Super Aguri,1:23.496,,
