position,number,driver,constructor,Q1,Q2,Q3
1,1,Lewis Hamilton,McLaren,1:38.649,1:38.182,1:39.489
2,2,Heikki Kovalainen,McLaren,1:38.816,1:38.230,1:39.532
3,23,Rubens Barrichello,Brawn,1:39.019,1:38.076,1:39.563
4,15,Sebastian Vettel,Red Bull,1:39.295,1:38.273,1:39.789
5,22,Jenson Button,Brawn,1:38.531,1:38.601,1:39.821
6,4,Kimi Räikkönen,Ferrari,1:38.843,1:38.782,1:40.144
7,16,Nico Rosberg,Williams,1:39.039,1:38.346,1:40.185
8,7,Fernando Alonso,Renault,1:39.155,1:38.717,1:40.236
9,14,Mark Webber,Red Bull,1:38.983,1:38.625,1:40.239
10,5,Robert Kubica,BMW Sauber,1:38.806,1:38.747,1:40.512
11,6,Nick Heidfeld,BMW Sauber,1:39.032,1:38.826,
12,20,Adrian Sutil,Force India,1:39.145,1:38.846,
13,10,Timo Glock,Toyota,1:39.459,1:38.991,
14,8,Romain Grosjean,Renault,1:39.322,1:39.040,
15,12,Sébastien Buemi,Toro Rosso,1:38.912,1:39.514,
16,21,Giancarlo Fisichella,Force India,1:39.531,,
17,17,Kazuki Nakajima,Williams,1:39.795,,
18,9,Jarno Trulli,Toyota,1:39.807,,
19,11,Jaime Alguersuari,Toro Rosso,1:39.925,,
20,3,Luca Badoer,Ferrari,1:41.413,,
