position,number,driver,constructor,Q1,Q2,Q3
1,21,Giancarlo Fisichella,Force India,1:45.102,1:44.667,1:46.308
2,9,Jarno Trulli,Toyota,1:45.140,1:44.503,1:46.395
3,6,Nick Heidfeld,BMW Sauber,1:45.566,1:44.709,1:46.500
4,23,Rubens Barrichello,Brawn,1:45.237,1:44.834,1:46.513
5,5,Robert Kubica,BMW Sauber,1:45.655,1:44.557,1:46.586
6,4,Kimi Räikkönen,Ferrari,1:45.579,1:44.953,1:46.633
7,10,Timo Glock,Toyota,1:45.450,1:44.877,1:46.677
8,15,Sebastian Vettel,Red Bull,1:45.372,1:44.592,1:46.761
9,14,Mark Webber,Red Bull,1:45.350,1:44.924,1:46.788
10,16,Nico Rosberg,Williams,1:45.486,1:45.047,1:47.362
11,20,Adrian Sutil,Force India,1:45.239,1:45.119,
12,1,Lewis Hamilton,McLaren,1:45.767,1:45.122,
13,7,Fernando Alonso,Renault,1:45.707,1:45.136,
14,22,Jenson Button,Brawn,1:45.761,1:45.251,
15,2,Heikki Kovalainen,McLaren,1:45.705,1:45.259,
16,12,Sébastien Buemi,Toro Rosso,1:45.951,,
17,11,Jaime Alguersuari,Toro Rosso,1:46.302,,
18,17,Kazuki Nakajima,Williams,1:46.307,,
19,8,Romain Grosjean,Renault,1:46.359,,
20,3,Luca Badoer,Ferrari,1:46.957,,
