lap,position,driver,time
1,1,vettel,1:36.383
1,2,hamilton,1:37.507
1,3,trulli,1:38.586
1,4,heidfeld,1:39.405
1,5,raikkonen,1:40.261
1,6,barrichello,1:40.689
1,7,sutil,1:41.754
1,8,rosberg,1:42.672
1,9,kovalainen,1:43.117
1,10,kubica,1:43.633
1,11,button,1:43.947
1,12,fisichella,1:44.263
1,13,nakajima,1:45.067
1,14,alguersuari,1:46.152
1,15,liuzzi,1:46.552
1,16,alonso,1:46.698
1,17,grosjean,1:46.926
1,18,buemi,1:47.397
1,19,webber,1:56.519
2,1,vettel,1:34.661
2,2,hamilton,1:35.463
2,3,trulli,1:35.620
2,4,heidfeld,1:35.589
2,5,raikkonen,1:36.096
2,6,barrichello,1:36.515
2,7,rosberg,1:36.811
2,8,kovalainen,1:37.884
2,9,sutil,1:40.034
2,10,kubica,1:38.488
2,11,button,1:38.534
2,12,fisichella,1:38.688
2,13,alguersuari,1:37.802
2,14,nakajima,1:39.149
2,15,alonso,1:37.771
2,16,liuzzi,1:38.625
2,17,grosjean,1:38.823
2,18,buemi,1:38.762
2,19,webber,2:16.217
3,1,vettel,1:33.949
3,2,hamilton,1:34.216
3,3,trulli,1:34.326
3,4,heidfeld,1:34.863
3,5,raikkonen,1:35.243
3,6,barrichello,1:35.197
3,7,rosberg,1:35.123
3,8,kovalainen,1:36.224
3,9,sutil,1:36.051
3,10,button,1:36.621
3,11,kubica,1:37.438
3,12,fisichella,1:36.894
3,13,alguersuari,1:37.206
3,14,nakajima,1:37.381
3,15,alonso,1:37.450
3,16,liuzzi,1:37.683
3,17,grosjean,1:38.019
3,18,buemi,1:38.163
3,19,webber,2:34.565
4,1,vettel,1:33.851
4,2,hamilton,1:33.721
4,3,trulli,1:33.816
4,4,heidfeld,1:34.158
4,5,raikkonen,1:34.790
4,6,barrichello,1:35.161
4,7,rosberg,1:34.605
4,8,kovalainen,1:35.437
4,9,sutil,1:35.366
4,10,button,1:34.870
4,11,kubica,1:35.821
4,12,fisichella,1:36.125
4,13,alguersuari,1:36.289
4,14,nakajima,1:36.543
4,15,alonso,1:36.764
4,16,liuzzi,1:36.706
4,17,buemi,1:36.903
4,18,grosjean,1:37.960
4,19,webber,1:40.832
5,1,vettel,1:33.286
5,2,hamilton,1:33.715
5,3,trulli,1:33.910
5,4,heidfeld,1:34.001
5,5,raikkonen,1:34.708
5,6,barrichello,1:34.597
5,7,rosberg,1:34.609
5,8,kovalainen,1:35.733
5,9,sutil,1:35.740
5,10,button,1:35.369
5,11,kubica,1:35.792
5,12,fisichella,1:35.622
5,13,alguersuari,1:35.749
5,14,nakajima,1:35.962
5,15,alonso,1:35.943
5,16,liuzzi,1:36.194
5,17,buemi,1:35.392
5,18,grosjean,1:36.881
5,19,webber,1:56.823
6,1,vettel,1:33.297
6,2,hamilton,1:33.452
6,3,trulli,1:33.627
6,4,heidfeld,1:34.098
6,5,raikkonen,1:34.748
6,6,barrichello,1:34.736
6,7,rosberg,1:35.103
6,8,kovalainen,1:35.248
6,9,sutil,1:35.133
6,10,button,1:35.460
6,11,kubica,1:35.556
6,12,fisichella,1:35.699
6,13,alguersuari,1:35.560
6,14,nakajima,1:35.967
6,15,alonso,1:36.136
6,16,liuzzi,1:36.063
6,17,buemi,1:35.644
6,18,grosjean,1:37.133
6,19,webber,1:35.611
7,1,vettel,1:33.236
7,2,hamilton,1:33.567
7,3,trulli,1:33.665
7,4,heidfeld,1:33.972
7,5,raikkonen,1:34.555
7,6,barrichello,1:34.964
7,7,rosberg,1:35.075
7,8,kovalainen,1:35.438
7,9,sutil,1:35.435
7,10,button,1:35.458
7,11,kubica,1:35.420
7,12,fisichella,1:35.508
7,13,alguersuari,1:35.604
7,14,nakajima,1:35.826
7,15,alonso,1:35.973
7,16,liuzzi,1:35.983
7,17,buemi,1:35.993
7,18,grosjean,1:36.381
7,19,webber,1:36.114
8,1,vettel,1:33.063
8,2,hamilton,1:33.455
8,3,trulli,1:33.511
8,4,heidfeld,1:34.174
