Position,Driver,Constructor,Points,Wins
1,Jenson Button,Brawn,41,4
2,Rubens Barrichello,Brawn,27,0
3,Sebastian Vettel,Red Bull,23,1
4,Mark Webber,Red Bull,15.5,0
5,Jarno Trulli,Toyota,14.5,0
6,Timo Glock,Toyota,12,0
7,Lewis Hamilton,McLaren,9,0
8,Fernando Alonso,Renault,9,0
9,Nick Heidfeld,BMW Sauber,6,0
10,Nico Rosberg,Williams,4.5,0
11,Heikki Kovalainen,McLaren,4,0
12,Felipe Massa,Ferrari,3,0
13,Kimi Räikkönen,Ferrari,3,0
14,Sébastien Buemi,Toro Rosso,3,0
15,Sébastien Bourdais,Toro Rosso,1,0
16,Adrian Sutil,Force India,0,0
17,Nelson Piquet Jr.,Renault,0,0
18,Robert Kubica,BMW Sauber,0,0
19,Giancarlo Fisichella,Force India,0,0
20,Kazuki Nakajima,Williams,0,0
