Position,Driver,Constructor,Points,Wins
1,Fernando Alonso,Ferrari,231,5
2,Mark Webber,Red Bull,220,4
3,Lewis Hamilton,McLaren,210,3
4,Sebastian Vettel,Red Bull,206,3
5,Jenson Button,McLaren,189,2
6,Felipe Massa,Ferrari,143,0
7,Robert Kubica,Renault,124,0
8,Nico Rosberg,Mercedes,122,0
9,Michael Schumacher,Mercedes,66,0
10,Rubens Barrichello,Williams,47,0
11,Adrian Sutil,Force India,47,0
12,Kamui Kobayashi,Sauber,31,0
13,Vitantonio Liuzzi,Force India,21,0
14,Vitaly Petrov,Renault,19,0
15,Nico Hülkenberg,Williams,18,0
16,Sébastien Buemi,Toro Rosso,8,0
17,Pedro de la Rosa,Sauber,6,0
18,Nick Heidfeld,Sauber,6,0
19,Jaime Alguersuari,Toro Rosso,3,0
20,Heikki Kovalainen,Lotus,0,0
21,Jarno Trulli,Lotus,0,0
22,Karun Chandhok,HRT,0,0
23,Bruno Senna,HRT,0,0
24,Lucas di Grassi,Virgin,0,0
25,Timo Glock,Virgin,0,0
26,Sakon Yamamoto,HRT,0,0
27,Christian Klien,HRT,0,0
