lap,position,driver,time
1,1,vettel,2:03.366
1,2,alonso,2:05.394
1,3,massa,2:06.758
1,4,rosberg,2:08.063
1,5,hamilton,2:08.558
1,6,michael_schumacher,2:09.527
1,7,webber,2:09.956
1,8,button,2:10.721
1,9,liuzzi,2:11.473
1,10,barrichello,2:12.361
1,11,petrov,2:12.963
1,12,kobayashi,2:13.768
1,13,hulkenberg,2:14.245
1,14,rosa,2:14.907
1,15,alguersuari,2:15.479
1,16,kovalainen,2:17.386
1,17,buemi,2:18.065
1,18,glock,2:18.573
1,19,grassi,2:19.114
1,20,trulli,2:19.666
1,21,kubica,2:20.006
1,22,sutil,2:24.476
1,23,bruno_senna,2:27.750
1,24,chandhok,2:34.479
2,1,vettel,2:02.517
2,2,alonso,2:02.720
2,3,massa,2:03.196
2,4,rosberg,2:03.507
2,5,hamilton,2:03.578
2,6,michael_schumacher,2:04.376
2,7,webber,2:04.661
2,8,button,2:04.853
2,9,liuzzi,2:05.534
2,10,barrichello,2:05.349
2,11,petrov,2:05.871
2,12,kobayashi,2:05.788
2,13,hulkenberg,2:06.082
2,14,rosa,2:05.474
2,15,alguersuari,2:05.417
2,16,buemi,2:05.728
2,17,kovalainen,2:08.155
2,18,kubica,2:06.279
2,19,glock,2:08.234
2,20,grassi,2:09.361
2,21,sutil,2:05.478
2,22,trulli,2:10.511
2,23,bruno_senna,2:11.104
3,1,vettel,2:02.969
3,2,alonso,2:03.046
3,3,massa,2:02.825
3,4,rosberg,2:03.519
3,5,hamilton,2:03.722
3,6,michael_schumacher,2:03.818
3,7,webber,2:03.692
3,8,button,2:04.279
3,9,liuzzi,2:04.589
3,10,barrichello,2:04.856
3,11,petrov,2:05.040
3,12,kobayashi,2:06.058
3,13,rosa,2:05.862
3,14,alguersuari,2:06.366
3,15,buemi,2:04.707
3,16,kubica,2:04.239
3,17,kovalainen,2:08.329
3,18,glock,2:08.050
3,19,sutil,2:05.255
3,20,trulli,2:10.784
3,21,hulkenberg,2:26.097
3,22,bruno_senna,2:11.175
4,1,vettel,2:02.723
4,2,alonso,2:02.781
4,3,massa,2:03.146
4,4,rosberg,2:03.682
4,5,hamilton,2:03.558
4,6,michael_schumacher,2:03.893
4,7,webber,2:04.504
4,8,button,2:04.154
4,9,liuzzi,2:04.351
4,10,barrichello,2:04.713
4,11,petrov,2:04.862
4,12,kobayashi,2:05.044
4,13,rosa,2:05.293
4,14,alguersuari,2:05.144
4,15,buemi,2:04.893
4,16,kubica,2:04.810
4,17,kovalainen,2:07.987
4,18,sutil,2:06.930
4,19,glock,2:08.328
4,20,trulli,2:07.475
4,21,bruno_senna,2:10.637
4,22,hulkenberg,2:25.516
5,1,vettel,2:02.858
5,2,alonso,2:02.640
5,3,massa,2:02.675
5,4,rosberg,2:03.384
5,5,hamilton,2:03.283
5,6,michael_schumacher,2:03.706
5,7,webber,2:03.336
5,8,button,2:03.955
5,9,liuzzi,2:04.788
5,10,barrichello,2:04.606
5,11,petrov,2:04.598
5,12,kobayashi,2:05.270
5,13,rosa,2:05.190
5,14,alguersuari,2:05.144
5,15,buemi,2:05.063
5,16,kubica,2:04.437
5,17,sutil,2:03.993
5,18,kovalainen,2:07.787
5,19,glock,2:07.402
5,20,trulli,2:07.390
5,21,bruno_senna,2:10.683
5,22,hulkenberg,2:03.829
6,1,vettel,2:02.675
6,2,alonso,2:03.034
6,3,massa,2:03.222
6,4,rosberg,2:03.503
6,5,hamilton,2:03.662
6,6,michael_schumacher,2:03.935
6,7,webber,2:04.010
6,8,button,2:04.037
6,9,liuzzi,2:04.537
6,10,barrichello,2:05.060
6,11,petrov,2:04.897
6,12,kobayashi,2:05.255
6,13,rosa,2:05.679
6,14,alguersuari,2:05.387
6,15,buemi,2:05.370
6,16,kubica,2:04.859
6,17,sutil,2:04.236
6,18,kovalainen,2:07.142
6,19,glock,2:07.306
6,20,trulli,2:07.526
6,21,hulkenberg,2:04.706
6,22,bruno_senna,2:11.167
7,1,vettel,2:02.555
7,2,alonso,2:02.921
7,3,massa,2:02.819
7,4,rosberg,2:03.571
7,5,hamilton,2:03.786
7,6,michael_schumacher,2:03.900
7,7,webber,2:03.731
7,8,button,2:04.076
7,9,liuzzi,2:04.439
7,10,barrichello,2:04.524
7,11,petrov,2:04.307
