Position,Driver,Constructor,Points,Wins
1,Jenson Button,McLaren,60,2
2,Nico Rosberg,Mercedes,50,0
3,Fernando Alonso,Ferrari,49,1
4,Lewis Hamilton,McLaren,49,0
5,Sebastian Vettel,Red Bull,45,1
6,Felipe Massa,Ferrari,41,0
7,Robert Kubica,Renault,40,0
8,Mark Webber,Red Bull,28,0
9,Adrian Sutil,Force India,10,0
10,Michael Schumacher,Mercedes,10,0
11,Vitantonio Liuzzi,Force India,8,0
12,Vitaly Petrov,Renault,6,0
13,Rubens Barrichello,Williams,5,0
14,Jaime Alguersuari,Toro Rosso,2,0
15,Nico Hülkenberg,Williams,1,0
16,Sébastien Buemi,Toro Rosso,0,0
17,Pedro de la Rosa,Sauber,0,0
18,Heikki Kovalainen,Lotus,0,0
19,Karun Chandhok,HRT,0,0
20,Lucas di Grassi,Virgin,0,0
21,Bruno Senna,HRT,0,0
22,Jarno Trulli,Lotus,0,0
23,Timo Glock,Virgin,0,0
24,Kamui Kobayashi,Sauber,0,0
