position,number,driver,constructor,laps,grid,status,points
1,1,Jenson Button,McLaren,56,5,Finished,25
2,2,Lewis Hamilton,McLaren,56,6,Finished,18
3,4,Nico Rosberg,Mercedes,56,4,Finished,15
4,8,Fernando Alonso,Ferrari,56,3,Finished,12
5,11,Robert Kubica,Renault,56,8,Finished,10
6,5,Sebastian Vettel,Red Bull,56,1,Finished,8
7,12,Vitaly Petrov,Renault,56,14,Finished,6
8,6,Mark Webber,Red Bull,56,2,Finished,4
9,7,Felipe Massa,Ferrari,56,7,Finished,2
10,3,Michael Schumacher,Mercedes,56,9,Finished,1
11,14,Adrian Sutil,Force India,56,10,Finished,0
12,9,Rubens Barrichello,Williams,56,11,Finished,0
13,17,Jaime Alguersuari,Toro Rosso,56,12,Finished,0
14,19,Heikki Kovalainen,Lotus,55,21,+1 Lap,0
15,10,Nico Hülkenberg,Williams,55,16,+1 Lap,0
16,21,Bruno Senna,HRT,54,23,+2 Laps,0
17,20,Karun Chandhok,HRT,52,24,+4 Laps,0
18,18,Jarno Trulli,Lotus,26,20,Hydraulics,0
19,25,Lucas di Grassi,Virgin,8,22,Clutch,0
20,22,Pedro de la Rosa,Sauber,7,17,Technical,0
21,16,Sébastien Buemi,Toro Rosso,0,13,Accident,0
22,23,Kamui Kobayashi,Sauber,0,15,Accident,0
23,15,Vitantonio Liuzzi,Force India,0,18,Accident,0
24,24,Timo Glock,Virgin,0,19,Engine,0
