lap,position,driver,time
1,1,webber,1:36.068
1,2,hamilton,1:36.522
1,3,vettel,1:37.545
1,4,button,1:38.885
1,5,michael_schumacher,1:39.391
1,6,rosberg,1:39.942
1,7,kubica,1:40.270
1,8,massa,1:40.691
1,9,petrov,1:41.104
1,10,kobayashi,1:41.541
1,11,sutil,1:41.709
1,12,alonso,1:42.155
1,13,rosa,1:42.976
1,14,alguersuari,1:43.404
1,15,hulkenberg,1:43.551
1,16,liuzzi,1:44.550
1,17,trulli,1:44.817
1,18,kovalainen,1:45.370
1,19,bruno_senna,1:46.278
1,20,barrichello,1:47.475
1,21,glock,1:48.895
1,22,chandhok,1:49.288
1,23,grassi,1:51.703
1,24,buemi,2:15.057
2,1,webber,1:33.685
2,2,hamilton,1:33.964
2,3,vettel,1:34.015
2,4,button,1:33.988
2,5,michael_schumacher,1:35.135
2,6,rosberg,1:35.475
2,7,kubica,1:35.735
2,8,massa,1:36.109
2,9,petrov,1:36.395
2,10,sutil,1:36.173
2,11,kobayashi,1:36.707
2,12,alonso,1:36.384
2,13,rosa,1:36.483
2,14,alguersuari,1:36.792
2,15,liuzzi,1:37.097
2,16,trulli,1:38.167
2,17,barrichello,1:35.764
2,18,kovalainen,1:38.198
2,19,bruno_senna,1:38.813
2,20,glock,1:37.551
2,21,chandhok,1:38.942
2,22,grassi,1:37.937
2,23,hulkenberg,1:52.806
2,24,buemi,2:02.196
3,1,webber,1:33.810
3,2,hamilton,1:33.411
3,3,vettel,1:33.991
3,4,button,1:33.957
3,5,michael_schumacher,1:34.732
3,6,rosberg,1:34.845
3,7,kubica,1:34.819
3,8,massa,1:34.831
3,9,petrov,1:35.026
3,10,sutil,1:35.539
3,11,kobayashi,1:35.704
3,12,alonso,1:35.992
3,13,rosa,1:35.696
3,14,alguersuari,1:35.785
3,15,liuzzi,1:35.568
3,16,barrichello,1:35.337
3,17,trulli,1:38.149
3,18,kovalainen,1:37.932
3,19,bruno_senna,1:38.092
3,20,glock,1:37.901
3,21,chandhok,1:38.864
3,22,grassi,1:38.284
3,23,hulkenberg,1:34.777
3,24,buemi,1:34.989
4,1,webber,1:33.376
4,2,hamilton,1:33.592
4,3,vettel,1:33.280
4,4,button,1:33.515
4,5,michael_schumacher,1:34.387
4,6,rosberg,1:34.415
4,7,kubica,1:34.311
4,8,massa,1:34.172
4,9,petrov,1:34.741
4,10,sutil,1:34.663
4,11,kobayashi,1:34.793
4,12,alonso,1:34.855
4,13,rosa,1:35.301
4,14,alguersuari,1:35.485
4,15,liuzzi,1:35.308
4,16,barrichello,1:34.590
4,17,trulli,1:37.101
4,18,kovalainen,1:37.234
4,19,bruno_senna,1:37.588
4,20,glock,1:37.471
4,21,chandhok,1:39.157
4,22,grassi,1:38.723
4,23,hulkenberg,1:35.671
4,24,buemi,1:35.425
5,1,webber,1:33.251
5,2,hamilton,1:33.117
5,3,vettel,1:33.346
5,4,button,1:33.190
5,5,michael_schumacher,1:34.181
5,6,rosberg,1:34.243
5,7,kubica,1:34.360
5,8,massa,1:34.420
5,9,petrov,1:34.215
5,10,sutil,1:34.364
5,11,kobayashi,1:34.531
5,12,alonso,1:34.493
5,13,rosa,1:35.114
5,14,alguersuari,1:34.954
5,15,liuzzi,1:35.073
5,16,barrichello,1:35.011
5,17,trulli,1:36.669
5,18,kovalainen,1:36.863
5,19,bruno_senna,1:37.399
5,20,glock,1:37.056
5,21,hulkenberg,1:35.523
5,22,chandhok,1:38.971
5,23,grassi,1:39.097
5,24,buemi,1:34.817
6,1,webber,1:32.905
6,2,hamilton,1:32.980
6,3,vettel,1:33.041
6,4,button,1:33.224
6,5,michael_schumacher,1:34.218
6,6,rosberg,1:34.687
6,7,kubica,1:34.493
6,8,massa,1:34.343
6,9,petrov,1:34.038
6,10,sutil,1:34.217
6,11,kobayashi,1:34.489
6,12,alonso,1:34.388
6,13,rosa,1:34.441
6,14,alguersuari,1:35.642
6,15,liuzzi,1:35.108
6,16,barrichello,1:34.933
6,17,trulli,1:36.510
6,18,kovalainen,1:36.605
6,19,bruno_senna,1:37.272
6,20,glock,1:37.282
6,21,hulkenberg,1:34.661
6,22,chandhok,1:37.861
6,23,grassi,1:38.073
6,24,buemi,1:34.852
7,1,webber,1:32.954
7,2,hamilton,1:32.931
7,3,vettel,1:33.088
7,4,button,1:32.928
7,5,michael_schumacher,1:34.101
7,6,rosberg,1:34.113
7,7,kubica,1:34.322
7,8,massa,1:34.452
7,9,petrov,1:34.457
7,10,sutil,1:34.238
7,11,kobayashi,1:34.094
7,12,alonso,1:34.361
7,13,rosa,1:34.649
7,14,alguersuari,1:34.934
7,15,liuzzi,1:35.232
7,16,barrichello,1:35.291
7,17,trulli,1:36.547
7,18,kovalainen,1:36.552
7,19,bruno_senna,1:37.309
7,20,glock,1:37.443
7,21,hulkenberg,1:37.047
7,22,grassi,1:37.967
7,23,chandhok,1:39.437
7,24,buemi,1:34.875
8,1,webber,1:33.060
8,2,hamilton,1:33.031
8,3,vettel,1:33.291
8,4,button,1:33.037
8,5,michael_schumacher,1:33.948
8,6,rosberg,1:33.881
8,7,kubica,1:34.014
8,8,massa,1:34.046
8,9,petrov,1:34.380
