lap,position,driver,time
1,1,vettel,1:47.844
1,2,hamilton,1:48.919
1,3,webber,1:49.966
1,4,massa,1:50.795
1,5,alonso,1:51.557
1,6,button,1:51.861
1,7,rosberg,1:52.471
1,8,petrov,1:53.356
1,9,resta,1:54.125
1,10,michael_schumacher,1:54.781
1,11,sutil,1:55.474
1,12,alguersuari,1:55.953
1,13,kobayashi,1:56.406
1,14,maldonado,1:56.864
1,15,barrichello,1:57.768
1,16,kovalainen,1:58.370
1,17,buemi,1:58.501
1,18,perez,1:59.004
1,19,bruno_senna,1:59.230
1,20,glock,2:00.432
1,21,ricciardo,2:00.972
1,22,trulli,2:01.264
1,23,ambrosio,2:02.076
1,24,liuzzi,2:15.393
2,1,vettel,1:45.467
2,2,hamilton,1:45.696
2,3,webber,1:46.214
2,4,massa,1:46.166
2,5,alonso,1:46.117
2,6,button,1:46.873
2,7,rosberg,1:47.548
2,8,petrov,1:47.783
2,9,resta,1:47.920
2,10,michael_schumacher,1:48.094
2,11,sutil,1:48.690
2,12,alguersuari,1:48.838
2,13,kobayashi,1:48.852
2,14,maldonado,1:49.187
2,15,barrichello,1:48.683
2,16,buemi,1:48.559
2,17,perez,1:48.711
2,18,kovalainen,1:50.320
2,19,bruno_senna,1:50.296
2,20,glock,1:51.018
2,21,trulli,1:50.371
2,22,ricciardo,1:52.056
2,23,ambrosio,1:51.635
2,24,liuzzi,2:13.279
3,1,vettel,1:45.241
3,2,hamilton,1:45.218
3,3,webber,1:45.448
3,4,massa,1:45.707
3,5,alonso,1:45.771
3,6,button,1:46.384
3,7,rosberg,1:46.474
3,8,petrov,1:47.111
3,9,resta,1:47.389
3,10,michael_schumacher,1:47.480
3,11,alguersuari,1:47.107
3,12,sutil,1:48.826
3,13,kobayashi,1:48.467
3,14,maldonado,1:48.470
3,15,buemi,1:47.981
3,16,barrichello,1:49.651
3,17,perez,1:48.767
3,18,kovalainen,1:48.894
3,19,bruno_senna,1:48.545
3,20,trulli,1:48.454
3,21,glock,1:50.798
3,22,ricciardo,1:50.245
3,23,ambrosio,1:50.909
3,24,liuzzi,1:51.147
4,1,vettel,1:45.111
4,2,hamilton,1:45.020
4,3,webber,1:45.615
4,4,massa,1:45.553
4,5,alonso,1:45.566
4,6,button,1:45.883
4,7,rosberg,1:45.975
4,8,petrov,1:46.420
4,9,resta,1:47.045
4,10,michael_schumacher,1:46.754
4,11,alguersuari,1:46.564
4,12,sutil,1:47.583
4,13,kobayashi,1:47.699
4,14,buemi,1:47.264
4,15,maldonado,1:48.701
4,16,barrichello,1:47.817
4,17,perez,1:48.064
4,18,bruno_senna,1:47.340
4,19,kovalainen,1:48.890
4,20,trulli,1:48.122
4,21,glock,1:49.644
4,22,ricciardo,1:50.674
4,23,ambrosio,1:50.643
4,24,liuzzi,1:51.094
5,1,vettel,1:45.409
5,2,hamilton,1:45.639
5,3,webber,1:45.940
5,4,massa,1:46.094
5,5,alonso,1:46.272
5,6,button,1:45.837
5,7,rosberg,1:45.756
5,8,petrov,1:46.064
5,9,michael_schumacher,1:46.011
5,10,resta,1:47.671
5,11,alguersuari,1:46.740
5,12,sutil,1:47.201
5,13,kobayashi,1:47.527
5,14,buemi,1:47.574
5,15,maldonado,1:47.419
5,16,barrichello,1:47.606
5,17,perez,1:47.608
5,18,bruno_senna,1:47.399
5,19,kovalainen,1:47.828
5,20,trulli,1:47.963
5,21,glock,1:49.248
5,22,ricciardo,1:49.901
5,23,ambrosio,1:50.433
5,24,liuzzi,1:50.725
6,1,vettel,1:45.321
6,2,hamilton,1:45.573
6,3,webber,1:45.988
6,4,massa,1:45.868
6,5,alonso,1:45.902
6,6,button,1:45.896
6,7,rosberg,1:45.946
6,8,petrov,1:46.801
6,9,michael_schumacher,1:46.429
6,10,resta,1:47.217
6,11,alguersuari,1:46.830
6,12,sutil,1:47.047
6,13,kobayashi,1:47.334
6,14,buemi,1:47.122
6,15,maldonado,1:47.276
6,16,barrichello,1:47.244
6,17,perez,1:47.486
6,18,bruno_senna,1:47.357
6,19,kovalainen,1:47.937
6,20,trulli,1:47.942
6,21,glock,1:49.263
6,22,ricciardo,1:49.579
6,23,ambrosio,1:50.039
6,24,liuzzi,1:51.286
7,1,vettel,1:45.127
