position,number,driver,constructor,Q1,Q2,Q3
1,3,Lewis Hamilton,McLaren,1:37.525,1:36.526,1:35.820
2,1,Sebastian Vettel,Red Bull,1:39.093,1:37.285,1:36.042
3,4,Jenson Button,McLaren,1:37.929,1:37.302,1:36.126
4,2,Mark Webber,Red Bull,1:39.071,1:37.292,1:36.468
5,6,Felipe Massa,Ferrari,1:38.670,1:37.313,1:36.831
6,5,Fernando Alonso,Ferrari,1:38.393,1:37.352,1:36.980
7,8,Nico Rosberg,Mercedes,1:38.426,1:37.892,1:37.754
8,10,Vitaly Petrov,Renault,1:38.378,1:38.186,1:38.124
9,15,Paul di Resta,Force India,1:38.549,1:38.254,
10,14,Adrian Sutil,Force India,1:38.789,1:38.219,
11,19,Jaime Alguersuari,Toro Rosso,1:39.392,1:38.315,
12,7,Michael Schumacher,Mercedes,1:38.502,1:38.354,
13,18,Sébastien Buemi,Toro Rosso,1:39.352,1:38.508,
14,16,Kamui Kobayashi,Sauber,1:39.464,1:38.775,
15,9,Bruno Senna,Renault,1:39.316,1:38.791,
16,12,Pastor Maldonado,Williams,1:39.436,1:39.189,
17,17,Sergio Pérez,Sauber,1:39.097,1:39.443,
18,11,Rubens Barrichello,Williams,1:39.538,,
19,20,Heikki Kovalainen,Lotus,1:40.522,,
20,21,Jarno Trulli,Lotus,1:41.101,,
21,24,Timo Glock,Virgin,1:42.091,,
22,25,Jérôme d'Ambrosio,Virgin,1:43.483,,
23,23,Vitantonio Liuzzi,HRT,1:43.758,,
24,22,Daniel Ricciardo,HRT,,,
