lap,position,driver,time
1,1,vettel,1:50.320
1,2,webber,1:51.682
1,3,alonso,1:52.612
1,4,massa,1:53.333
1,5,hamilton,1:53.819
1,6,rosberg,1:54.972
1,7,button,1:55.351
1,8,michael_schumacher,1:56.290
1,9,sutil,1:56.817
1,10,heidfeld,1:57.645
1,11,resta,1:58.481
1,12,barrichello,1:59.008
1,13,kobayashi,1:59.444
1,14,buemi,1:59.721
1,15,petrov,2:00.928
1,16,perez,2:01.525
1,17,alguersuari,2:01.725
1,18,glock,2:02.674
1,19,kovalainen,2:03.130
1,20,trulli,2:03.820
1,21,liuzzi,2:04.831
1,22,maldonado,2:05.206
1,23,ambrosio,2:05.662
1,24,karthikeyan,2:06.285
2,1,vettel,1:45.466
2,2,webber,1:45.931
2,3,alonso,1:46.284
2,4,massa,1:46.363
2,5,hamilton,1:46.850
2,6,rosberg,1:47.305
2,7,button,1:47.499
2,8,michael_schumacher,1:47.897
2,9,sutil,1:47.739
2,10,heidfeld,1:47.932
2,11,resta,1:48.279
2,12,barrichello,1:48.482
2,13,kobayashi,1:48.920
2,14,buemi,1:49.156
2,15,petrov,1:49.444
2,16,perez,1:49.736
2,17,alguersuari,1:49.887
2,18,glock,1:50.982
2,19,kovalainen,1:50.949
2,20,trulli,1:50.893
2,21,maldonado,1:51.066
2,22,liuzzi,1:51.879
2,23,ambrosio,1:51.354
2,24,karthikeyan,1:52.023
3,1,vettel,1:45.186
3,2,webber,1:45.584
3,3,alonso,1:45.458
3,4,massa,1:45.804
3,5,hamilton,1:45.662
3,6,rosberg,1:47.028
3,7,button,1:46.889
3,8,michael_schumacher,1:47.437
3,9,sutil,1:47.608
3,10,heidfeld,1:47.682
3,11,resta,1:47.468
3,12,barrichello,1:48.065
3,13,kobayashi,1:47.950
3,14,buemi,1:48.124
3,15,petrov,1:48.588
3,16,alguersuari,1:47.883
3,17,perez,1:49.234
3,18,kovalainen,1:49.410
3,19,glock,1:51.002
3,20,trulli,1:50.276
3,21,maldonado,1:49.977
3,22,liuzzi,1:51.122
3,23,ambrosio,1:51.061
3,24,karthikeyan,1:51.358
4,1,vettel,1:45.488
4,2,webber,1:45.363
4,3,alonso,1:45.236
4,4,massa,1:45.485
4,5,hamilton,1:45.655
4,6,rosberg,1:46.938
4,7,button,1:46.823
4,8,michael_schumacher,1:47.134
4,9,sutil,1:47.092
4,10,heidfeld,1:47.509
4,11,resta,1:47.426
4,12,barrichello,1:47.707
4,13,kobayashi,1:48.004
4,14,buemi,1:48.038
4,15,alguersuari,1:47.515
4,16,petrov,1:49.183
4,17,perez,1:48.309
4,18,kovalainen,1:49.118
4,19,trulli,1:48.997
4,20,maldonado,1:49.646
4,21,glock,1:51.259
4,22,liuzzi,1:51.230
4,23,ambrosio,1:51.021
4,24,karthikeyan,1:50.914
5,1,vettel,1:45.160
5,2,webber,1:45.113
5,3,alonso,1:45.191
5,4,massa,1:45.394
5,5,hamilton,1:45.532
5,6,rosberg,1:47.136
5,7,button,1:47.108
5,8,michael_schumacher,1:47.263
5,9,sutil,1:47.313
5,10,heidfeld,1:47.294
5,11,resta,1:47.168
5,12,barrichello,1:47.032
5,13,kobayashi,1:46.805
5,14,buemi,1:47.576
5,15,alguersuari,1:47.558
5,16,petrov,1:48.408
5,17,perez,1:48.867
5,18,kovalainen,1:49.056
5,19,trulli,1:48.266
5,20,maldonado,1:49.512
5,21,glock,1:50.916
5,22,liuzzi,1:50.754
5,23,ambrosio,1:51.300
5,24,karthikeyan,1:50.867
6,1,vettel,1:45.033
6,2,webber,1:45.111
6,3,alonso,1:45.172
6,4,massa,1:45.224
6,5,hamilton,1:45.311
6,6,button,1:46.554
6,7,rosberg,1:47.801
6,8,michael_schumacher,1:46.854
6,9,sutil,1:47.022
6,10,heidfeld,1:47.234
6,11,resta,1:47.628
6,12,barrichello,1:47.547
6,13,kobayashi,1:47.524
6,14,buemi,1:47.159
6,15,alguersuari,1:47.028
6,16,petrov,1:47.915
6,17,perez,1:47.962
6,18,kovalainen,1:48.444
6,19,trulli,1:48.536
6,20,maldonado,1:49.293
6,21,glock,1:50.199
6,22,liuzzi,1:50.324
6,23,ambrosio,1:50.329
6,24,karthikeyan,1:50.403
7,1,vettel,1:44.712
7,2,webber,1:45.375
7,3,alonso,1:45.086
7,4,massa,1:45.083
7,5,hamilton,1:45.225
7,6,button,1:45.866
7,7,rosberg,1:46.604
7,8,michael_schumacher,1:46.514
7,9,sutil,1:46.760
7,10,heidfeld,1:46.863
7,11,resta,1:47.233
7,12,barrichello,1:47.438
7,13,kobayashi,1:47.434
7,14,buemi,1:47.147
7,15,alguersuari,1:46.664
7,16,petrov,1:47.592
7,17,perez,1:48.159
7,18,kovalainen,1:48.437
7,19,trulli,1:48.323
7,20,maldonado,1:48.994
7,21,glock,1:50.439
7,22,liuzzi,1:49.879
7,23,ambrosio,1:49.983
7,24,karthikeyan,1:50.463
8,1,vettel,1:45.150
8,2,webber,1:45.169
8,3,alonso,1:45.250
8,4,massa,1:45.066
8,5,hamilton,1:45.161
8,6,button,1:45.321
8,7,rosberg,1:46.249
8,8,michael_schumacher,1:46.637
8,9,sutil,1:46.686
8,10,heidfeld,1:47.223
8,11,resta,1:47.740
8,12,barrichello,1:47.260
8,13,kobayashi,1:47.394
8,14,buemi,1:47.304
8,15,alguersuari,1:46.775
8,16,petrov,1:48.014
8,17,perez,1:47.979
8,18,kovalainen,1:48.245
8,19,trulli,1:48.354
8,20,maldonado,1:48.988
8,21,glock,1:49.813
8,22,liuzzi,1:50.031
8,23,ambrosio,1:49.876
8,24,karthikeyan,1:51.417
9,1,vettel,1:45.030
9,2,webber,1:45.012
9,3,alonso,1:45.164
9,4,massa,1:45.728
9,5,hamilton,1:45.235
9,6,button,1:45.681
9,7,rosberg,1:46.112
9,8,michael_schumacher,1:46.705
9,9,sutil,1:47.138
9,10,heidfeld,1:47.040
9,11,resta,1:47.112
9,12,barrichello,1:47.320
9,13,kobayashi,1:47.716
9,14,buemi,1:47.522
9,15,alguersuari,1:47.239
9,16,petrov,1:48.001
9,17,perez,1:47.900
9,18,kovalainen,1:47.947
9,19,trulli,1:48.062
9,20,maldonado,1:48.951
9,21,glock,1:49.882
9,22,liuzzi,1:49.871
9,23,ambrosio,1:49.946
9,24,karthikeyan,1:51.003
10,1,vettel,1:45.055
10,2,webber,1:45.317
10,3,alonso,1:45.300
10,4,massa,1:46.001
10,5,hamilton,1:45.800
10,6,button,1:45.965
10,7,rosberg,1:46.579
10,8,michael_schumacher,1:46.989
10,9,sutil,1:47.560
10,10,heidfeld,1:47.250
