lap,position,driver,time
1,1,vettel,1:54.623
1,2,webber,1:55.759
1,3,alonso,1:58.128
1,4,button,1:59.638
1,5,massa,1:59.962
1,6,hamilton,2:00.323
1,7,resta,2:00.926
1,8,kobayashi,2:01.207
1,9,michael_schumacher,2:02.353
1,10,maldonado,2:02.902
1,11,sutil,2:03.376
1,12,rosberg,2:04.247
1,13,perez,2:06.739
1,14,heidfeld,2:07.102
1,15,petrov,2:07.377
1,16,alguersuari,2:07.697
1,17,buemi,2:08.553
1,18,kovalainen,2:09.778
1,19,barrichello,2:10.379
1,20,glock,2:10.928
1,21,liuzzi,2:11.410
1,22,trulli,2:11.753
1,23,ambrosio,2:12.334
1,24,ricciardo,2:13.431
2,1,vettel,1:50.924
2,2,webber,1:52.126
2,3,alonso,1:52.701
2,4,massa,1:52.173
2,5,hamilton,1:52.860
2,6,button,1:55.714
2,7,resta,1:54.983
2,8,kobayashi,1:55.097
2,9,michael_schumacher,1:54.523
2,10,maldonado,1:56.067
2,11,sutil,1:55.928
2,12,rosberg,1:55.650
2,13,perez,1:54.929
2,14,heidfeld,1:55.306
2,15,petrov,1:56.413
2,16,alguersuari,1:56.303
2,17,buemi,1:56.304
2,18,barrichello,1:55.552
2,19,glock,1:57.849
2,20,liuzzi,1:59.186
2,21,trulli,1:59.282
2,22,ambrosio,2:00.009
2,23,ricciardo,1:59.855
2,24,kovalainen,2:10.404
3,1,vettel,1:50.838
3,2,webber,1:51.944
3,3,alonso,1:52.088
3,4,massa,1:51.896
3,5,hamilton,1:51.779
3,6,button,1:53.023
3,7,resta,1:53.324
3,8,kobayashi,1:53.761
3,9,michael_schumacher,1:54.230
3,10,maldonado,1:54.531
3,11,sutil,1:54.558
3,12,rosberg,1:55.107
3,13,perez,1:53.907
3,14,heidfeld,1:55.466
3,15,petrov,1:55.188
3,16,alguersuari,1:55.254
3,17,buemi,1:55.500
3,18,barrichello,1:55.318
3,19,glock,1:57.798
3,20,trulli,1:58.269
3,21,liuzzi,1:59.494
3,22,ambrosio,1:59.094
3,23,ricciardo,1:59.529
4,1,vettel,1:51.013
4,2,webber,1:51.713
4,3,alonso,1:51.649
4,4,massa,1:52.194
