lap,position,driver,time
1,1,hamilton,1:59.387
1,2,vettel,2:00.608
1,3,button,2:02.589
1,4,maldonado,2:03.654
1,5,alonso,2:04.729
1,6,resta,2:05.591
1,7,webber,2:06.507
1,8,grosjean,2:07.314
1,9,rosberg,2:07.940
1,10,michael_schumacher,2:08.550
1,11,raikkonen,2:09.239
1,12,hulkenberg,2:09.648
1,13,perez,2:10.182
1,14,ricciardo,2:10.715
1,15,vergne,2:11.425
1,16,kovalainen,2:12.024
1,17,glock,2:12.614
1,18,bruno_senna,2:13.184
1,19,kobayashi,2:13.781
1,20,pic,2:14.889
1,21,rosa,2:16.068
1,22,karthikeyan,2:16.444
1,23,petrov,2:27.211
1,24,massa,2:54.254
2,1,hamilton,1:56.779
2,2,vettel,1:57.079
2,3,button,1:57.827
2,4,maldonado,1:58.177
2,5,alonso,1:58.511
2,6,resta,1:58.694
2,7,webber,1:58.892
2,8,grosjean,1:59.168
2,9,rosberg,1:59.434
2,10,michael_schumacher,1:59.670
2,11,raikkonen,1:59.744
2,12,hulkenberg,1:59.954
2,13,perez,1:59.897
2,14,ricciardo,2:00.455
2,15,vergne,2:00.532
2,16,kovalainen,2:00.577
2,17,glock,2:00.780
2,18,bruno_senna,2:00.768
2,19,kobayashi,2:00.995
2,20,pic,2:02.198
2,21,rosa,2:02.428
2,22,karthikeyan,2:02.626
2,23,petrov,2:25.802
2,24,massa,2:20.684
3,1,hamilton,1:56.271
3,2,vettel,1:56.187
3,3,button,1:57.430
3,4,maldonado,1:57.371
3,5,alonso,1:58.202
3,6,resta,1:58.527
3,7,webber,1:58.335
3,8,grosjean,1:58.312
3,9,rosberg,1:58.645
3,10,michael_schumacher,1:58.926
3,11,raikkonen,1:58.687
3,12,hulkenberg,1:58.795
3,13,perez,1:58.761
3,14,ricciardo,1:59.248
3,15,vergne,1:59.104
3,16,kovalainen,1:59.510
3,17,glock,1:59.731
3,18,bruno_senna,1:59.703
3,19,kobayashi,2:00.126
3,20,pic,2:00.886
3,21,rosa,2:01.453
3,22,karthikeyan,2:02.731
3,23,petrov,1:58.914
3,24,massa,1:56.867
4,1,hamilton,1:55.777
4,2,vettel,1:56.090
4,3,button,1:56.896
4,4,maldonado,1:57.564
4,5,alonso,1:57.600
4,6,resta,1:57.964
4,7,webber,1:58.105
4,8,grosjean,1:58.127
4,9,rosberg,1:58.480
4,10,michael_schumacher,1:58.110
4,11,raikkonen,1:58.191
4,12,hulkenberg,1:58.382
4,13,perez,1:58.456
4,14,ricciardo,1:59.046
4,15,vergne,1:59.071
4,16,kovalainen,1:59.191
4,17,bruno_senna,1:58.590
4,18,glock,2:00.220
4,19,kobayashi,1:59.547
4,20,pic,2:00.267
4,21,rosa,2:00.985
4,22,karthikeyan,2:03.286
4,23,petrov,1:59.254
4,24,massa,1:55.664
5,1,hamilton,1:56.142
5,2,vettel,1:56.255
5,3,button,1:56.717
5,4,maldonado,1:56.631
5,5,alonso,1:57.152
5,6,resta,1:57.475
5,7,webber,1:57.350
5,8,grosjean,1:57.596
5,9,rosberg,1:57.980
5,10,michael_schumacher,1:58.443
