lap,position,driver,time
1,1,vettel,1:47.821
1,2,webber,1:48.558
1,3,hamilton,1:49.559
1,4,alonso,1:50.603
1,5,michael_schumacher,1:53.401
1,6,hulkenberg,1:53.678
1,7,raikkonen,1:54.246
1,8,grosjean,1:55.014
1,9,resta,1:55.873
1,10,massa,1:56.792
1,11,perez,1:58.172
1,12,bruno_senna,1:58.883
1,13,maldonado,1:59.311
1,14,rosberg,2:00.340
1,15,button,2:00.820
1,16,vergne,2:01.811
1,17,kobayashi,2:02.647
1,18,petrov,2:03.382
1,19,glock,2:03.781
1,20,ricciardo,2:04.004
1,21,kovalainen,2:05.479
1,22,pic,2:05.705
1,23,rosa,2:06.427
1,24,karthikeyan,2:06.860
2,1,vettel,1:46.344
2,2,webber,1:47.065
2,3,hamilton,1:47.384
2,4,alonso,1:48.915
2,5,hulkenberg,1:48.849
2,6,grosjean,1:49.849
2,7,michael_schumacher,1:52.593
2,8,raikkonen,1:52.114
2,9,resta,1:50.830
2,10,massa,1:50.443
2,11,perez,1:49.430
2,12,bruno_senna,1:49.530
2,13,maldonado,1:49.563
2,14,button,1:48.893
2,15,rosberg,1:50.749
2,16,vergne,1:49.971
2,17,kobayashi,1:50.929
2,18,ricciardo,1:50.118
2,19,petrov,1:52.529
2,20,glock,1:52.951
2,21,pic,1:52.004
2,22,kovalainen,1:53.221
2,23,rosa,1:53.538
2,24,karthikeyan,1:53.765
3,1,vettel,1:46.716
3,2,webber,1:47.139
3,3,hamilton,1:46.640
3,4,alonso,1:46.931
3,5,hulkenberg,1:47.264
3,6,grosjean,1:46.502
3,7,raikkonen,1:47.073
3,8,michael_schumacher,1:48.802
3,9,resta,1:48.750
3,10,massa,1:48.659
3,11,perez,1:48.852
3,12,bruno_senna,1:48.477
3,13,button,1:47.713
3,14,maldonado,1:49.542
3,15,vergne,1:48.251
3,16,rosberg,1:49.806
3,17,kobayashi,1:47.888
3,18,ricciardo,1:47.820
3,19,petrov,1:48.906
3,20,glock,1:48.757
3,21,kovalainen,1:49.556
3,22,pic,1:50.798
3,23,rosa,1:51.415
3,24,karthikeyan,1:51.256
4,1,vettel,1:45.592
4,2,hamilton,1:45.497
4,3,webber,1:47.084
4,4,alonso,1:46.448
4,5,hulkenberg,1:46.888
4,6,grosjean,1:45.810
4,7,raikkonen,1:45.923
4,8,resta,1:46.998
4,9,michael_schumacher,1:48.553
4,10,massa,1:47.877
4,11,perez,1:47.836
4,12,bruno_senna,1:48.006
4,13,maldonado,1:47.104
4,14,button,1:48.496
4,15,vergne,1:46.663
4,16,rosberg,1:46.900
4,17,ricciardo,1:46.313
4,18,kobayashi,1:48.276
4,19,petrov,1:47.766
4,20,glock,1:48.024
4,21,kovalainen,1:47.960
4,22,pic,1:49.661
4,23,rosa,1:49.968
4,24,karthikeyan,1:50.334
5,1,vettel,1:44.598
5,2,hamilton,1:44.783
5,3,webber,1:45.444
5,4,alonso,1:45.329
5,5,hulkenberg,1:46.111
5,6,grosjean,1:46.034
5,7,raikkonen,1:45.247
5,8,resta,1:46.864
5,9,michael_schumacher,1:47.301
5,10,massa,1:47.293
5,11,perez,1:47.336
5,12,bruno_senna,1:47.235
5,13,maldonado,1:47.397
5,14,button,1:47.292
5,15,vergne,1:47.120
5,16,ricciardo,1:45.996
5,17,rosberg,1:47.217
5,18,kobayashi,1:47.020
5,19,petrov,1:47.378
5,20,glock,1:47.955
5,21,kovalainen,1:47.507
5,22,pic,1:48.078
