lap,position,driver,time
1,1,vettel,1:25.307
1,2,hamilton,1:26.479
1,3,alonso,1:26.961
1,4,webber,1:27.935
1,5,rosberg,1:29.446
1,6,massa,1:29.480
1,7,resta,1:29.983
1,8,grosjean,1:30.737
1,9,michael_schumacher,1:31.164
1,10,button,1:31.833
1,11,raikkonen,1:32.210
1,12,kobayashi,1:32.619
1,13,perez,1:33.216
1,14,hulkenberg,1:33.860
1,15,bruno_senna,1:34.225
1,16,kovalainen,1:34.715
1,17,vergne,1:35.162
1,18,ricciardo,1:35.454
1,19,maldonado,1:35.718
1,20,rosa,1:36.524
1,21,petrov,1:36.792
1,22,glock,1:37.431
1,23,pic,1:38.078
1,24,karthikeyan,1:38.437
2,1,vettel,1:20.663
2,2,hamilton,1:20.916
2,3,alonso,1:21.197
2,4,webber,1:21.074
2,5,massa,1:21.864
2,6,rosberg,1:22.357
2,7,resta,1:22.322
2,8,grosjean,1:22.244
2,9,michael_schumacher,1:22.156
2,10,button,1:22.834
2,11,raikkonen,1:22.630
2,12,kobayashi,1:22.657
2,13,perez,1:22.518
2,14,hulkenberg,1:22.389
2,15,kovalainen,1:23.000
2,16,bruno_senna,1:24.219
2,17,ricciardo,1:23.397
2,18,vergne,1:23.697
2,19,maldonado,1:23.799
2,20,petrov,1:23.659
2,21,rosa,1:24.405
2,22,glock,1:24.377
2,23,pic,1:24.335
2,24,karthikeyan,1:24.598
3,1,vettel,1:20.567
3,2,hamilton,1:20.580
3,3,alonso,1:20.849
3,4,webber,1:20.819
3,5,massa,1:20.609
3,6,resta,1:21.539
3,7,rosberg,1:22.235
3,8,grosjean,1:21.502
3,9,michael_schumacher,1:21.773
3,10,button,1:21.505
3,11,raikkonen,1:21.704
3,12,kobayashi,1:21.546
3,13,perez,1:22.206
3,14,hulkenberg,1:22.103
3,15,kovalainen,1:21.800
3,16,bruno_senna,1:21.720
3,17,ricciardo,1:21.946
3,18,vergne,1:22.787
3,19,maldonado,1:22.495
3,20,petrov,1:22.293
3,21,rosa,1:23.117
3,22,glock,1:23.328
3,23,pic,1:23.480
3,24,karthikeyan,1:23.625
4,1,vettel,1:19.737
4,2,hamilton,1:20.207
4,3,alonso,1:19.951
4,4,webber,1:20.605
4,5,massa,1:19.773
4,6,resta,1:21.217
4,7,rosberg,1:21.722
4,8,grosjean,1:21.772
4,9,michael_schumacher,1:21.473
4,10,button,1:21.186
4,11,raikkonen,1:21.262
4,12,kobayashi,1:21.197
4,13,perez,1:21.169
4,14,hulkenberg,1:21.284
4,15,kovalainen,1:21.771
4,16,bruno_senna,1:21.702
4,17,ricciardo,1:21.450
4,18,vergne,1:21.325
4,19,maldonado,1:21.523
4,20,petrov,1:21.797
4,21,rosa,1:22.965
4,22,glock,1:22.705
4,23,pic,1:22.865
4,24,karthikeyan,1:22.814
5,1,vettel,1:19.764
5,2,hamilton,1:19.683
5,3,alonso,1:20.217
5,4,webber,1:20.508
5,5,massa,1:20.000
5,6,resta,1:20.814
5,7,rosberg,1:20.800
5,8,grosjean,1:20.809
5,9,michael_schumacher,1:21.284
5,10,button,1:21.211
5,11,raikkonen,1:21.122
5,12,kobayashi,1:21.190
5,13,perez,1:20.927
5,14,hulkenberg,1:21.013
5,15,kovalainen,1:21.628
5,16,vergne,1:21.903
5,17,ricciardo,1:22.903
5,18,maldonado,1:21.932
5,19,bruno_senna,1:23.908
5,20,petrov,1:21.734
5,21,rosa,1:22.607
5,22,glock,1:22.855
5,23,pic,1:22.886
5,24,karthikeyan,1:23.261
6,1,vettel,1:19.898
6,2,hamilton,1:19.897
6,3,alonso,1:20.173
6,4,webber,1:20.569
6,5,resta,1:20.903
6,6,rosberg,1:21.246
6,7,grosjean,1:21.229
6,8,michael_schumacher,1:21.179
6,9,button,1:21.254
6,10,raikkonen,1:21.223
6,11,kobayashi,1:21.400
6,12,massa,1:29.975
6,13,perez,1:22.058
6,14,hulkenberg,1:22.005
6,15,kovalainen,1:21.864
6,16,vergne,1:21.504
6,17,ricciardo,1:21.430
6,18,maldonado,1:21.721
6,19,bruno_senna,1:22.354
6,20,petrov,1:22.548
6,21,rosa,1:22.701
6,22,glock,1:23.021
6,23,pic,1:22.717
6,24,karthikeyan,1:22.659
7,1,vettel,1:19.856
7,2,hamilton,1:19.962
7,3,alonso,1:20.320
7,4,webber,1:20.699
7,5,resta,1:20.759
7,6,rosberg,1:20.626
7,7,grosjean,1:20.539
7,8,michael_schumacher,1:20.736
7,9,button,1:20.908
7,10,raikkonen,1:20.982
7,11,kobayashi,1:20.723
7,12,massa,1:20.900
7,13,perez,1:21.018
7,14,hulkenberg,1:21.059
7,15,kovalainen,1:21.861
7,16,vergne,1:20.627
7,17,ricciardo,1:21.062
7,18,maldonado,1:21.428
7,19,bruno_senna,1:21.696
7,20,petrov,1:21.611
7,21,rosa,1:22.353
7,22,glock,1:22.679
7,23,pic,1:22.832
7,24,karthikeyan,1:24.673
8,1,vettel,1:20.136
8,2,hamilton,1:20.347
8,3,alonso,1:20.007
8,4,webber,1:20.602
8,5,resta,1:20.682
8,6,rosberg,1:20.887
8,7,grosjean,1:21.103
8,8,michael_schumacher,1:20.825
8,9,button,1:20.733
8,10,raikkonen,1:20.691
8,11,kobayashi,1:21.009
8,12,massa,1:20.733
8,13,perez,1:20.855
8,14,hulkenberg,1:20.898
8,15,vergne,1:21.250
8,16,kovalainen,1:22.181
8,17,ricciardo,1:21.510
8,18,maldonado,1:21.173
8,19,bruno_senna,1:21.439
8,20,petrov,1:21.831
8,21,rosa,1:22.161
8,22,glock,1:22.495
8,23,pic,1:22.666
8,24,karthikeyan,1:22.537
9,1,vettel,1:20.579
9,2,hamilton,1:20.257
9,3,alonso,1:20.132
9,4,webber,1:20.722
9,5,resta,1:20.968
9,6,rosberg,1:20.578
9,7,grosjean,1:20.537
9,8,michael_schumacher,1:20.602
9,9,button,1:20.920
9,10,raikkonen,1:20.929
9,11,kobayashi,1:20.690
9,12,massa,1:20.747
9,13,perez,1:20.397
9,14,hulkenberg,1:20.724
9,15,vergne,1:20.641
9,16,ricciardo,1:21.648
9,17,kovalainen,1:22.265
9,18,maldonado,1:21.674
9,19,bruno_senna,1:21.508
9,20,petrov,1:22.220
9,21,rosa,1:22.323
9,22,glock,1:22.600
9,23,pic,1:22.806
9,24,karthikeyan,1:22.572
10,1,vettel,1:20.468
10,2,hamilton,1:20.226
10,3,alonso,1:20.121
10,4,webber,1:20.407
10,5,resta,1:20.793
10,6,rosberg,1:20.817
10,7,grosjean,1:20.692
10,8,michael_schumacher,1:20.804
10,9,button,1:20.524
10,10,raikkonen,1:20.574
10,11,kobayashi,1:20.787
10,12,massa,1:20.615
10,13,perez,1:20.618
10,14,hulkenberg,1:20.527
10,15,vergne,1:20.481
10,16,ricciardo,1:20.643
10,17,maldonado,1:22.136
10,18,kovalainen,1:23.225
10,19,bruno_senna,1:22.111
10,20,petrov,1:21.615
10,21,rosa,1:22.171
10,22,glock,1:22.416
10,23,pic,1:22.485
10,24,karthikeyan,1:22.432
11,1,vettel,1:20.328
11,2,hamilton,1:20.270
11,3,alonso,1:20.370
11,4,webber,1:20.467
11,5,resta,1:21.017
11,6,rosberg,1:20.856
11,7,grosjean,1:20.822
11,8,michael_schumacher,1:20.676
11,9,button,1:20.866
11,10,raikkonen,1:20.740
11,11,kobayashi,1:20.764
11,12,massa,1:20.805
11,13,perez,1:21.006
11,14,hulkenberg,1:21.195
11,15,vergne,1:20.534
11,16,ricciardo,1:20.367
11,17,maldonado,1:20.687
11,18,kovalainen,1:21.771
11,19,bruno_senna,1:21.861
11,20,petrov,1:21.796
11,21,rosa,1:22.164
11,22,glock,1:22.276
11,23,pic,1:22.261
11,24,karthikeyan,1:22.490
12,1,vettel,1:20.121
12,2,hamilton,1:20.198
12,3,alonso,1:20.288
12,4,webber,1:20.416
12,5,resta,1:21.152
12,6,rosberg,1:21.010
12,7,grosjean,1:21.011
12,8,michael_schumacher,1:21.004
12,9,button,1:20.972
12,10,raikkonen,1:20.947
12,11,kobayashi,1:20.874
12,12,perez,1:20.553
12,13,hulkenberg,1:20.482
12,14,vergne,1:20.655
12,15,ricciardo,1:20.358
12,16,maldonado,1:20.336
12,17,kovalainen,1:21.667
12,18,bruno_senna,1:21.536
12,19,petrov,1:21.758
12,20,massa,1:34.172
12,21,rosa,1:22.580
12,22,glock,1:23.083
12,23,pic,1:23.245
12,24,karthikeyan,1:22.044
13,1,vettel,1:20.074
13,2,hamilton,1:20.083
13,3,alonso,1:20.304
13,4,webber,1:20.155
13,5,rosberg,1:20.878
13,6,grosjean,1:21.062
13,7,button,1:21.295
13,8,raikkonen,1:21.104
13,9,kobayashi,1:20.900
13,10,perez,1:20.402
13,11,hulkenberg,1:20.253
13,12,vergne,1:20.527
13,13,ricciardo,1:20.218
13,14,maldonado,1:20.347
13,15,resta,1:34.827
13,16,michael_schumacher,1:35.057
13,17,kovalainen,1:21.341
13,18,bruno_senna,1:21.435
13,19,massa,1:21.298
13,20,petrov,1:22.183
13,21,rosa,1:22.242
13,22,glock,1:22.550
13,23,pic,1:22.670
