Position,Driver,Constructor,Points,Wins
1,Fernando Alonso,Ferrari,129,2
2,Mark Webber,Red Bull,116,2
3,Sebastian Vettel,Red Bull,100,1
4,Lewis Hamilton,McLaren,92,1
5,Kimi Räikkönen,Lotus F1,83,0
6,Nico Rosberg,Mercedes,75,1
7,Romain Grosjean,Lotus F1,61,0
8,Jenson Button,McLaren,50,1
9,Sergio Pérez,Sauber,39,0
10,Pastor Maldonado,Williams,29,1
11,Paul di Resta,Force India,27,0
12,Michael Schumacher,Mercedes,23,0
13,Felipe Massa,Ferrari,23,0
14,Kamui Kobayashi,Sauber,21,0
15,Bruno Senna,Williams,18,0
16,Nico Hülkenberg,Force India,17,0
17,Jean-Éric Vergne,Toro Rosso,4,0
18,Daniel Ricciardo,Toro Rosso,2,0
19,Heikki Kovalainen,Caterham,0,0
20,Vitaly Petrov,Caterham,0,0
21,Timo Glock,Marussia,0,0
22,Charles Pic,Marussia,0,0
23,Narain Karthikeyan,HRT,0,0
24,Pedro de la Rosa,HRT,0,0
