Position,Driver,Constructor,Points,Wins
1,Sebastian Vettel,Red Bull,322,10
2,Fernando Alonso,Ferrari,207,2
3,Kimi Räikkönen,Lotus F1,183,1
4,Lewis Hamilton,Mercedes,169,1
5,Mark Webber,Red Bull,148,0
6,Nico Rosberg,Mercedes,144,2
7,Romain Grosjean,Lotus F1,102,0
8,Felipe Massa,Ferrari,102,0
9,Jenson Button,McLaren,60,0
10,Paul di Resta,Force India,40,0
11,Nico Hülkenberg,Sauber,39,0
12,Sergio Pérez,McLaren,33,0
13,Adrian Sutil,Force India,28,0
14,Daniel Ricciardo,Toro Rosso,19,0
15,Jean-Éric Vergne,Toro Rosso,13,0
16,Esteban Gutiérrez,Sauber,6,0
17,Pastor Maldonado,Williams,1,0
18,Valtteri Bottas,Williams,0,0
19,Jules Bianchi,Marussia,0,0
20,Charles Pic,Caterham,0,0
21,Giedo van der Garde,Caterham,0,0
22,Max Chilton,Marussia,0,0
