lap,position,driver,time
1,1,vettel,1:32.771
1,2,massa,1:35.261
1,3,rosberg,1:36.003
1,4,hamilton,1:36.592
1,5,hulkenberg,1:37.178
1,6,raikkonen,1:37.600
1,7,webber,1:38.171
1,8,perez,1:38.803
1,9,ricciardo,1:39.529
1,10,alonso,1:40.693
1,11,sutil,1:41.562
1,12,maldonado,1:42.128
1,13,button,1:42.416
1,14,gutierrez,1:43.160
1,15,resta,1:43.709
1,16,grosjean,1:43.765
1,17,bottas,1:43.771
1,18,jules_bianchi,1:44.613
1,19,chilton,1:45.185
1,20,vergne,1:45.281
1,21,pic,2:11.024
1,22,garde,2:42.390
2,1,vettel,1:34.399
2,2,massa,1:32.981
2,3,rosberg,1:33.101
2,4,hamilton,1:33.278
2,5,hulkenberg,1:33.703
2,6,raikkonen,1:33.824
2,7,webber,1:34.156
2,8,perez,1:34.165
2,9,ricciardo,1:34.622
2,10,sutil,1:35.887
2,11,button,1:35.341
2,12,maldonado,1:36.278
2,13,gutierrez,1:35.913
2,14,grosjean,1:35.523
2,15,alonso,1:38.865
2,16,bottas,1:36.117
2,17,jules_bianchi,1:36.235
2,18,chilton,1:37.351
2,19,resta,1:53.339
2,20,vergne,1:53.633
2,21,pic,2:02.121
3,1,massa,1:32.706
3,2,rosberg,1:32.990
3,3,hamilton,1:33.063
3,4,hulkenberg,1:33.480
3,5,raikkonen,1:33.279
3,6,webber,1:33.131
3,7,perez,1:33.752
3,8,ricciardo,1:34.155
3,9,button,1:33.855
3,10,sutil,1:35.235
3,11,maldonado,1:34.926
3,12,grosjean,1:35.038
3,13,gutierrez,1:35.535
3,14,bottas,1:35.393
3,15,jules_bianchi,1:35.570
3,16,chilton,1:36.102
3,17,vettel,1:52.178
3,18,resta,1:33.268
3,19,vergne,1:33.514
3,20,alonso,1:58.816
3,21,pic,1:36.043
4,1,massa,1:32.716
4,2,rosberg,1:32.746
4,3,hamilton,1:33.097
4,4,hulkenberg,1:33.713
4,5,raikkonen,1:33.935
4,6,webber,1:33.813
4,7,perez,1:33.548
4,8,ricciardo,1:34.133
4,9,button,1:33.599
4,10,sutil,1:33.957
4,11,grosjean,1:33.374
4,12,maldonado,1:34.816
4,13,gutierrez,1:34.349
4,14,bottas,1:34.445
4,15,jules_bianchi,1:35.967
4,16,vettel,1:33.208
4,17,chilton,1:36.947
4,18,resta,1:33.317
4,19,vergne,1:33.688
4,20,alonso,1:32.814
4,21,pic,1:35.752
5,1,massa,1:32.921
5,2,rosberg,1:33.049
5,3,hamilton,1:33.318
5,4,raikkonen,1:33.771
5,5,webber,1:33.634
5,6,hulkenberg,1:35.785
5,7,perez,1:33.736
5,8,ricciardo,1:33.925
5,9,button,1:33.615
5,10,sutil,1:33.819
5,11,grosjean,1:33.571
5,12,maldonado,1:34.182
5,13,gutierrez,1:34.483
5,14,bottas,1:34.459
5,15,vettel,1:32.874
5,16,chilton,1:35.982
5,17,jules_bianchi,1:39.184
5,18,resta,1:33.674
5,19,vergne,1:33.635
5,20,alonso,1:32.802
5,21,pic,1:35.686
6,1,massa,1:33.056
6,2,rosberg,1:33.161
6,3,hamilton,1:33.381
6,4,webber,1:32.419
6,5,raikkonen,1:34.149
6,6,perez,1:33.458
6,7,ricciardo,1:33.871
6,8,sutil,1:33.882
6,9,grosjean,1:33.485
6,10,button,1:37.029
6,11,maldonado,1:33.663
6,12,gutierrez,1:33.629
6,13,bottas,1:33.803
6,14,vettel,1:33.119
6,15,hulkenberg,1:53.603
6,16,chilton,1:36.197
6,17,resta,1:33.380
6,18,vergne,1:33.637
6,19,alonso,1:32.658
6,20,jules_bianchi,2:05.970
6,21,pic,1:35.502
7,1,massa,1:33.054
7,2,hamilton,1:33.334
7,3,rosberg,1:35.393
7,4,webber,1:32.566
7,5,perez,1:33.159
7,6,ricciardo,1:33.729
7,7,raikkonen,1:37.506
7,8,grosjean,1:32.911
7,9,sutil,1:34.450
7,10,maldonado,1:33.653
7,11,gutierrez,1:33.813
7,12,vettel,1:32.771
7,13,bottas,1:34.527
7,14,hulkenberg,1:32.611
7,15,chilton,1:35.892
7,16,resta,1:33.923
7,17,vergne,1:33.351
7,18,button,1:51.455
7,19,alonso,1:32.900
7,20,jules_bianchi,1:35.612
7,21,pic,1:34.996
8,1,massa,1:35.208
8,2,webber,1:32.398
8,3,hamilton,1:35.704
8,4,perez,1:33.209
8,5,ricciardo,1:33.607
8,6,grosjean,1:33.036
8,7,sutil,1:33.833
8,8,vettel,1:32.540
8,9,gutierrez,1:34.256
8,10,maldonado,1:36.190
8,11,bottas,1:34.053
8,12,rosberg,1:52.158
8,13,hulkenberg,1:32.850
8,14,resta,1:33.375
8,15,raikkonen,1:56.029
8,16,chilton,1:36.943
8,17,vergne,1:34.885
8,18,button,1:34.742
8,19,alonso,1:33.262
8,20,jules_bianchi,1:35.230
8,21,pic,1:35.214
9,1,webber,1:31.828
9,2,perez,1:32.663
9,3,ricciardo,1:33.199
9,4,grosjean,1:33.574
9,5,sutil,1:33.442
9,6,vettel,1:32.610
9,7,gutierrez,1:33.097
9,8,massa,1:52.235
9,9,bottas,1:34.750
9,10,rosberg,1:33.213
9,11,hamilton,1:52.127
9,12,hulkenberg,1:33.442
9,13,resta,1:33.131
9,14,raikkonen,1:31.895
9,15,button,1:33.343
9,16,vergne,1:34.840
9,17,alonso,1:34.110
9,18,chilton,1:37.862
9,19,maldonado,1:54.799
9,20,jules_bianchi,1:35.047
9,21,pic,1:34.970
10,1,webber,1:31.699
10,2,perez,1:32.283
10,3,ricciardo,1:33.161
10,4,grosjean,1:33.298
10,5,vettel,1:31.939
10,6,sutil,1:33.821
10,7,gutierrez,1:32.935
10,8,massa,1:32.440
10,9,rosberg,1:33.811
10,10,bottas,1:35.072
10,11,hamilton,1:33.049
10,12,hulkenberg,1:32.988
10,13,resta,1:32.963
10,14,raikkonen,1:32.501
10,15,button,1:33.001
10,16,vergne,1:34.083
10,17,alonso,1:34.001
10,18,chilton,1:35.233
10,19,maldonado,1:33.700
10,20,jules_bianchi,1:34.932
10,21,pic,1:34.860
11,1,webber,1:31.548
11,2,perez,1:32.765
11,3,ricciardo,1:33.116
11,4,vettel,1:31.358
11,5,grosjean,1:33.985
11,6,sutil,1:33.127
11,7,gutierrez,1:33.025
11,8,massa,1:32.578
11,9,rosberg,1:32.924
11,10,bottas,1:33.168
11,11,hamilton,1:33.190
11,12,hulkenberg,1:32.940
11,13,raikkonen,1:32.265
11,14,resta,1:34.371
11,15,button,1:33.563
11,16,alonso,1:32.443
11,17,vergne,1:34.622
11,18,maldonado,1:33.460
11,19,chilton,1:36.262
11,20,jules_bianchi,1:34.902
11,21,pic,1:34.758
12,1,webber,1:31.416
12,2,perez,1:32.263
12,3,ricciardo,1:33.149
12,4,vettel,1:31.578
12,5,grosjean,1:33.000
12,6,sutil,1:32.974
12,7,gutierrez,1:33.072
12,8,massa,1:32.808
12,9,rosberg,1:32.436
12,10,bottas,1:32.846
12,11,hamilton,1:33.001
12,12,hulkenberg,1:32.743
12,13,raikkonen,1:32.283
12,14,resta,1:33.026
12,15,alonso,1:33.447
12,16,vergne,1:33.434
12,17,button,1:37.356
12,18,maldonado,1:33.391
12,19,chilton,1:35.061
12,20,jules_bianchi,1:34.860
12,21,pic,1:34.981
13,1,webber,1:31.844
13,2,perez,1:32.083
13,3,vettel,1:31.086
13,4,ricciardo,1:34.298
13,5,sutil,1:32.795
13,6,gutierrez,1:33.004
13,7,grosjean,1:36.059
13,8,massa,1:33.162
13,9,rosberg,1:32.229
13,10,bottas,1:33.309
13,11,hamilton,1:33.158
13,12,hulkenberg,1:33.087
13,13,raikkonen,1:32.440
13,14,resta,1:33.054
13,15,alonso,1:31.687
13,16,vergne,1:33.096
13,17,maldonado,1:33.291
13,18,chilton,1:35.038
13,19,button,1:51.946
13,20,jules_bianchi,1:34.719
13,21,pic,1:35.363
14,1,webber,1:32.242
14,2,perez,1:32.122
14,3,vettel,1:31.231
14,4,ricciardo,1:33.014
14,5,sutil,1:32.502
14,6,gutierrez,1:32.552
14,7,massa,1:32.483
14,8,rosberg,1:32.338
14,9,bottas,1:32.863
14,10,hamilton,1:32.791
14,11,hulkenberg,1:32.980
14,12,raikkonen,1:32.275
14,13,resta,1:32.903
14,14,alonso,1:32.199
14,15,grosjean,1:51.384
14,16,vergne,1:32.993
14,17,maldonado,1:33.053
14,18,chilton,1:35.297
14,19,button,1:32.210
14,20,jules_bianchi,1:34.779
14,21,pic,1:34.872
15,1,webber,1:31.135
15,2,perez,1:32.003
15,3,vettel,1:31.021
15,4,ricciardo,1:32.827
15,5,sutil,1:32.064
15,6,gutierrez,1:32.500
15,7,massa,1:32.594
15,8,rosberg,1:32.221
15,9,hamilton,1:32.518
15,10,bottas,1:34.404
15,11,hulkenberg,1:33.021
15,12,raikkonen,1:32.464
15,13,resta,1:32.728
