position,number,driver,constructor,Q1,Q2,Q3
1,1,Sebastian Vettel,Red Bull,1:25.943,1:24.568,1:24.119
2,9,Nico Rosberg,Mercedes,1:25.833,1:25.304,1:24.871
3,10,Lewis Hamilton,Mercedes,1:25.802,1:25.259,1:24.941
4,2,Mark Webber,Red Bull,1:25.665,1:25.097,1:25.047
5,4,Felipe Massa,Ferrari,1:25.793,1:25.389,1:25.201
6,7,Kimi Räikkönen,Lotus F1,1:25.819,1:25.191,1:25.248
7,11,Nico Hülkenberg,Sauber,1:25.883,1:25.339,1:25.334
8,3,Fernando Alonso,Ferrari,1:25.934,1:24.885,1:25.826
9,6,Sergio Pérez,McLaren,1:26.107,1:25.365,1:26.153
10,5,Jenson Button,McLaren,1:25.574,1:25.458,1:26.487
11,19,Daniel Ricciardo,Toro Rosso,1:25.673,1:25.519,
12,14,Paul di Resta,Force India,1:25.908,1:25.711,
13,15,Adrian Sutil,Force India,1:26.164,1:25.740,
14,18,Jean-Éric Vergne,Toro Rosso,1:26.155,1:25.798,
15,17,Valtteri Bottas,Williams,1:26.178,1:26.134,
16,12,Esteban Gutiérrez,Sauber,1:26.057,1:26.366,
17,8,Romain Grosjean,Lotus F1,1:26.577,,
18,16,Pastor Maldonado,Williams,1:26.842,,
19,22,Jules Bianchi,Marussia,1:26.970,,
20,21,Giedo van der Garde,Caterham,1:27.105,,
21,20,Charles Pic,Caterham,1:27.487,,
22,23,Max Chilton,Marussia,1:28.138,,
