position,number,driver,constructor,Q1,Q2,Q3
1,9,Nico Rosberg,Mercedes,1:33.364,1:32.867,1:32.330
2,1,Sebastian Vettel,Red Bull,1:33.327,1:32.746,1:32.584
3,3,Fernando Alonso,Ferrari,1:32.878,1:33.316,1:32.667
4,10,Lewis Hamilton,Mercedes,1:33.498,1:33.346,1:32.762
5,2,Mark Webber,Red Bull,1:33.966,1:33.098,1:33.078
6,4,Felipe Massa,Ferrari,1:33.780,1:33.358,1:33.207
7,14,Paul di Resta,Force India,1:33.762,1:33.335,1:33.235
8,15,Adrian Sutil,Force India,1:34.048,1:33.378,1:33.246
9,7,Kimi Räikkönen,Lotus F1,1:33.827,1:33.146,1:33.327
10,5,Jenson Button,McLaren,1:34.071,1:33.702,
11,8,Romain Grosjean,Lotus F1,1:33.498,1:33.762,
12,6,Sergio Pérez,McLaren,1:34.310,1:33.914,
13,19,Daniel Ricciardo,Toro Rosso,1:34.120,1:33.974,
14,11,Nico Hülkenberg,Sauber,1:34.409,1:33.976,
15,17,Valtteri Bottas,Williams,1:34.425,1:34.105,
16,18,Jean-Éric Vergne,Toro Rosso,1:34.314,1:34.284,
17,16,Pastor Maldonado,Williams,1:34.425,,
18,12,Esteban Gutiérrez,Sauber,1:34.730,,
19,20,Charles Pic,Caterham,1:35.283,,
20,22,Jules Bianchi,Marussia,1:36.178,,
21,21,Giedo van der Garde,Caterham,1:36.304,,
22,23,Max Chilton,Marussia,1:36.476,,
