position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:55.516,1:54.029,1:53.860
2,3,Daniel Ricciardo,Red Bull,1:56.641,1:55.302,1:54.455
3,1,Sebastian Vettel,Red Bull,1:55.926,1:54.499,1:54.960
4,6,Nico Rosberg,Mercedes,1:56.058,1:55.294,1:55.143
5,14,Fernando Alonso,Ferrari,1:56.961,1:55.765,1:55.637
6,19,Felipe Massa,Williams,1:56.850,1:56.757,1:56.147
7,77,Valtteri Bottas,Williams,1:56.501,1:56.253,1:56.282
8,27,Nico Hülkenberg,Force India,1:55.913,1:56.847,1:56.366
9,25,Jean-Éric Vergne,Toro Rosso,1:57.477,1:56.584,1:56.773
10,8,Romain Grosjean,Lotus F1,1:58.411,1:56.407,1:57.079
11,7,Kimi Räikkönen,Ferrari,1:58.279,1:56.860,
12,22,Jenson Button,McLaren,1:57.783,1:56.963,
13,26,Daniil Kvyat,Toro Rosso,1:57.261,1:57.289,
14,99,Adrian Sutil,Sauber,1:58.138,1:57.393,
15,20,Kevin Magnussen,McLaren,1:57.369,1:57.675,
16,11,Sergio Pérez,Force India,1:58.362,1:58.264,
17,21,Esteban Gutiérrez,Sauber,1:58.988,,
18,10,Kamui Kobayashi,Caterham,1:59.260,,
19,17,Jules Bianchi,Marussia,1:59.326,,
20,9,Marcus Ericsson,Caterham,2:00.646,,
21,4,Max Chilton,Marussia,2:00.865,,
22,13,Pastor Maldonado,Lotus F1,,,
