lap,position,driver,time
1,1,rosberg,1:27.651
1,2,hamilton,1:28.284
1,3,kvyat,1:29.420
1,4,ricciardo,1:31.125
1,5,bottas,1:32.578
1,6,max_verstappen,1:33.337
1,7,massa,1:33.954
1,8,perez,1:34.892
1,9,hulkenberg,1:35.220
1,10,sainz,1:35.795
1,11,maldonado,1:36.745
1,12,grosjean,1:37.207
1,13,ericsson,1:37.733
1,14,nasr,1:38.294
1,15,rossi,1:39.160
1,16,raikkonen,1:39.738
1,17,button,1:40.285
1,18,stevens,1:41.648
1,19,vettel,1:51.880
1,20,alonso,1:58.053
2,1,rosberg,1:25.195
2,2,hamilton,1:25.868
2,3,kvyat,1:26.472
2,4,ricciardo,1:26.066
2,5,bottas,1:26.063
2,6,max_verstappen,1:26.515
2,7,massa,1:26.553
2,8,perez,1:26.677
2,9,hulkenberg,1:26.917
2,10,sainz,1:26.817
2,11,maldonado,1:26.898
2,12,grosjean,1:27.521
2,13,ericsson,1:27.840
2,14,nasr,1:28.016
2,15,raikkonen,1:27.187
2,16,button,1:28.698
2,17,rossi,1:30.392
2,18,stevens,1:30.123
2,19,vettel,1:51.515
3,1,rosberg,1:25.292
3,2,hamilton,1:25.213
3,3,kvyat,1:25.641
3,4,ricciardo,1:26.138
3,5,bottas,1:25.442
3,6,max_verstappen,1:25.847
3,7,massa,1:25.951
3,8,perez,1:26.209
3,9,hulkenberg,1:26.487
3,10,sainz,1:26.320
3,11,maldonado,1:26.467
3,12,grosjean,1:26.561
3,13,ericsson,1:27.061
3,14,nasr,1:27.189
3,15,raikkonen,1:27.176
3,16,button,1:28.031
3,17,rossi,1:29.103
3,18,stevens,1:29.351
3,19,vettel,1:25.006
4,1,rosberg,1:25.129
4,2,hamilton,1:24.889
4,3,kvyat,1:25.258
4,4,ricciardo,1:25.805
4,5,bottas,1:26.060
4,6,max_verstappen,1:25.752
4,7,massa,1:25.765
4,8,perez,1:26.244
4,9,sainz,1:25.694
4,10,hulkenberg,1:26.905
4,11,maldonado,1:26.080
4,12,grosjean,1:26.034
4,13,ericsson,1:26.725
4,14,nasr,1:26.587
4,15,raikkonen,1:26.682
4,16,button,1:27.310
4,17,rossi,1:28.877
4,18,stevens,1:28.344
4,19,vettel,1:24.764
5,1,rosberg,1:24.369
5,2,hamilton,1:24.683
5,3,kvyat,1:25.326
5,4,ricciardo,1:25.759
5,5,bottas,1:25.837
5,6,max_verstappen,1:25.754
5,7,massa,1:25.957
5,8,perez,1:25.953
5,9,sainz,1:25.915
5,10,hulkenberg,1:25.915
5,11,maldonado,1:26.385
5,12,grosjean,1:26.317
5,13,ericsson,1:26.465
5,14,nasr,1:26.680
5,15,raikkonen,1:26.582
5,16,button,1:27.905
5,17,rossi,1:29.004
5,18,stevens,1:28.459
5,19,vettel,1:24.745
6,1,rosberg,1:24.599
6,2,hamilton,1:24.313
6,3,kvyat,1:25.213
6,4,ricciardo,1:25.802
6,5,bottas,1:25.788
6,6,max_verstappen,1:25.829
6,7,massa,1:26.162
6,8,perez,1:25.732
6,9,sainz,1:25.794
6,10,hulkenberg,1:25.994
6,11,maldonado,1:26.267
6,12,grosjean,1:26.363
6,13,ericsson,1:27.136
6,14,raikkonen,1:26.345
6,15,nasr,1:27.537
6,16,button,1:27.038
6,17,rossi,1:28.567
6,18,stevens,1:28.199
6,19,vettel,1:24.493
7,1,rosberg,1:24.349
7,2,hamilton,1:24.718
7,3,kvyat,1:25.495
7,4,ricciardo,1:25.409
7,5,bottas,1:25.793
7,6,max_verstappen,1:25.796
7,7,massa,1:26.092
7,8,perez,1:26.038
