Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,25,1
2,Nico Rosberg,Mercedes,18,0
3,Sebastian Vettel,Ferrari,15,0
4,Felipe Massa,Williams,12,0
5,Felipe Nasr,Sauber,10,0
6,Daniel Ricciardo,Red Bull,8,0
7,Nico Hülkenberg,Force India,6,0
8,Marcus Ericsson,Sauber,4,0
9,Carlos Sainz,Toro Rosso,2,0
10,Sergio Pérez,Force India,1,0
11,Jenson Button,McLaren,0,0
12,Kimi Räikkönen,Ferrari,0,0
13,Max Verstappen,Toro Rosso,0,0
14,Romain Grosjean,Lotus F1,0,0
15,Pastor Maldonado,Lotus F1,0,0
16,Daniil Kvyat,Red Bull,0,0
17,Kevin Magnussen,McLaren,0,0
18,Valtteri Bottas,Williams,0,0
