Position,Driver,Constructor,Points,Wins
1,Lewis Hamilton,Mercedes,43,1
2,Sebastian Vettel,Ferrari,40,1
3,Nico Rosberg,Mercedes,33,0
4,Felipe Massa,Williams,20,0
5,Kimi Räikkönen,Ferrari,12,0
6,Felipe Nasr,Sauber,10,0
7,Valtteri Bottas,Williams,10,0
8,Daniel Ricciardo,Red Bull,9,0
9,Nico Hülkenberg,Force India,6,0
10,Max Verstappen,Toro Rosso,6,0
11,Carlos Sainz,Toro Rosso,6,0
12,Marcus Ericsson,Sauber,4,0
13,Daniil Kvyat,Red Bull,2,0
14,Sergio Pérez,Force India,1,0
15,Romain Grosjean,Lotus F1,0,0
16,Jenson Button,McLaren,0,0
17,Roberto Merhi,Manor Marussia,0,0
18,Pastor Maldonado,Lotus F1,0,0
19,Kevin Magnussen,McLaren,0,0
20,Fernando Alonso,McLaren,0,0
21,Will Stevens,Manor Marussia,0,0
