position,number,driver,constructor,laps,grid,status,points
1,44,Lewis Hamilton,Mercedes,57,1,Finished,25
2,7,Kimi Räikkönen,Ferrari,57,4,Finished,18
3,6,Nico Rosberg,Mercedes,57,3,Finished,15
4,77,Valtteri Bottas,Williams,57,5,Finished,12
5,5,Sebastian Vettel,Ferrari,57,2,Finished,10
6,3,Daniel Ricciardo,Red Bull,57,7,Finished,8
7,8,Romain Grosjean,Lotus F1,57,10,Finished,6
8,11,Sergio Pérez,Force India,56,11,+1 Lap,4
9,26,Daniil Kvyat,Red Bull,56,17,+1 Lap,2
10,19,Felipe Massa,Williams,56,6,+1 Lap,1
11,14,Fernando Alonso,McLaren,56,14,+1 Lap,0
12,12,Felipe Nasr,Sauber,56,12,+1 Lap,0
13,27,Nico Hülkenberg,Force India,56,8,+1 Lap,0
14,9,Marcus Ericsson,Sauber,56,13,+1 Lap,0
15,13,Pastor Maldonado,Lotus F1,56,16,+1 Lap,0
16,28,Will Stevens,Manor Marussia,55,18,+2 Laps,0
17,98,Roberto Merhi,Manor Marussia,54,19,+3 Laps,0
18,33,Max Verstappen,Toro Rosso,34,15,Electrical,0
19,55,Carlos Sainz,Toro Rosso,29,9,Engine,0
20,22,Jenson Button,McLaren,0,20,ERS,0
