position,number,driver,constructor,Q1,Q2,Q3
1,44,Lewis Hamilton,Mercedes,1:16.588,1:15.864,1:15.098
2,6,Nico Rosberg,Mercedes,1:16.528,1:15.471,1:15.440
3,5,Sebastian Vettel,Ferrari,1:17.502,1:16.181,1:15.849
4,3,Daniel Ricciardo,Red Bull,1:17.254,1:16.706,1:16.041
5,26,Daniil Kvyat,Red Bull,1:16.845,1:16.453,1:16.182
6,7,Kimi Räikkönen,Ferrari,1:17.660,1:16.440,1:16.427
7,11,Sergio Pérez,Force India,1:17.376,1:16.999,1:16.808
8,55,Carlos Sainz,Toro Rosso,1:17.246,1:16.762,1:16.931
9,13,Pastor Maldonado,Lotus F1,1:17.630,1:16.775,1:16.946
10,33,Max Verstappen,Toro Rosso,1:16.750,1:16.546,1:16.957
11,8,Romain Grosjean,Lotus F1,1:17.767,1:17.007,
12,22,Jenson Button,McLaren,1:17.492,1:17.093,
13,27,Nico Hülkenberg,Force India,1:17.552,1:17.193,
14,19,Felipe Massa,Williams,1:17.679,1:17.278,
15,14,Fernando Alonso,McLaren,1:17.778,1:26.632,
16,12,Felipe Nasr,Sauber,1:18.101,,
17,77,Valtteri Bottas,Williams,1:18.434,,
18,9,Marcus Ericsson,Sauber,1:18.513,,
19,28,Will Stevens,Manor Marussia,1:20.655,,
20,98,Roberto Merhi,Manor Marussia,1:20.904,,
