lap,position,driver,time
1,1,rosberg,1:32.902
1,2,hamilton,1:33.767
1,3,vettel,1:35.352
1,4,massa,1:36.377
1,5,hulkenberg,1:37.967
1,6,max_verstappen,1:38.831
1,7,bottas,1:39.657
1,8,nasr,1:40.842
1,9,sainz,1:42.198
1,10,grosjean,1:42.739
1,11,perez,1:43.896
1,12,maldonado,1:44.631
1,13,kvyat,1:45.154
1,14,ericsson,1:45.713
1,15,merhi,1:46.309
1,16,ricciardo,1:47.791
1,17,button,1:48.678
1,18,stevens,1:49.759
2,1,rosberg,2:17.155
2,2,hamilton,2:18.219
2,3,vettel,2:17.731
2,4,massa,2:17.878
2,5,hulkenberg,2:17.109
2,6,max_verstappen,2:17.574
2,7,bottas,2:18.218
2,8,nasr,2:18.176
2,9,sainz,2:17.391
2,10,grosjean,2:18.750
2,11,perez,2:18.375
2,12,maldonado,2:18.199
2,13,merhi,2:17.092
2,14,ericsson,2:18.158
2,15,ricciardo,2:17.708
2,16,button,2:18.046
2,17,kvyat,2:22.352
3,1,rosberg,2:05.597
3,2,hamilton,2:04.973
3,3,vettel,2:04.860
3,4,massa,2:04.494
3,5,hulkenberg,2:04.970
3,6,max_verstappen,2:04.765
3,7,bottas,2:04.035
3,8,nasr,2:03.754
3,9,sainz,2:04.332
3,10,grosjean,2:04.385
3,11,perez,2:04.481
3,12,maldonado,2:04.587
3,13,merhi,2:04.662
3,14,ricciardo,2:04.128
3,15,kvyat,2:03.127
3,16,button,2:04.174
3,17,ericsson,2:07.893
4,1,rosberg,1:58.402
4,2,hamilton,1:58.053
4,3,vettel,1:58.449
4,4,massa,1:58.524
4,5,hulkenberg,1:58.061
4,6,max_verstappen,1:59.122
4,7,bottas,1:59.005
4,8,nasr,1:59.968
4,9,sainz,2:00.792
4,10,grosjean,1:59.735
4,11,perez,1:59.388
4,12,maldonado,1:59.950
4,13,merhi,1:59.873
4,14,ricciardo,1:59.923
4,15,kvyat,1:59.807
4,16,ericsson,2:00.129
4,17,button,2:01.925
5,1,rosberg,1:53.637
5,2,hamilton,1:53.486
5,3,vettel,1:53.492
5,4,massa,1:53.417
5,5,hulkenberg,1:53.833
5,6,max_verstappen,1:52.329
5,7,bottas,1:52.664
5,8,nasr,1:52.134
5,9,sainz,1:51.032
5,10,grosjean,1:51.200
5,11,perez,1:51.997
5,12,maldonado,1:51.721
5,13,merhi,1:51.937
5,14,ricciardo,1:51.412
5,15,kvyat,1:51.958
5,16,ericsson,1:51.750
5,17,button,1:52.208
6,1,rosberg,1:49.873
6,2,hamilton,1:49.741
6,3,vettel,1:48.979
6,4,massa,1:48.618
6,5,hulkenberg,1:47.737
6,6,max_verstappen,1:47.385
6,7,bottas,1:46.724
6,8,nasr,1:45.630
6,9,sainz,1:45.136
6,10,grosjean,1:44.361
6,11,perez,1:43.416
6,12,maldonado,1:42.778
6,13,merhi,1:42.604
6,14,ricciardo,1:41.619
6,15,kvyat,1:40.620
6,16,ericsson,1:40.443
6,17,button,1:42.229
7,1,rosberg,1:13.607
7,2,hamilton,1:14.440
7,3,vettel,1:15.223
7,4,massa,1:15.702
7,5,hulkenberg,1:15.798
7,6,max_verstappen,1:16.056
7,7,bottas,1:16.416
7,8,nasr,1:16.650
7,9,sainz,1:16.923
7,10,perez,1:17.059
7,11,grosjean,1:17.752
